"","equil","crop","reg.imp","AE0","AE25","AE50","AE75","weight","scenario"
"1","consumption","Corn","Africa",11.1866900657894,10.8638442672292,34.9252860511693,74.4735731336739,0.381247408943977,"S2"
"2","consumption","Corn","Asia",26.3722488329238,17.5500806207452,67.0229721926324,161.112959087324,2.60010613829404,"S2"
"3","consumption","Corn","Europe",29.0975257772608,27.1798255160426,80.2983063847028,475.677512034019,0.543925201180919,"S2"
"4","consumption","Corn","N. America",14.2971384988306,29.8894061783277,82.2413483471824,99.6379081142152,1.77070493764856,"S2"
"5","consumption","Corn","Oceania",10.6814071375048,22.649350409789,70.0996369812648,98.2567402371897,0.00326817796025073,"S2"
"6","consumption","Corn","S. America",25.0978050383917,28.8099645762411,115.471783718635,4388.44255692698,0.484023491952783,"S2"
"7","consumption","Others","Africa",3.79765919240102,5.52826619631217,29.6491563196093,72.040565823743,2.87483840914946,"S2"
"8","consumption","Others","Asia",5.33328853214717,13.4243008858409,48.103474654606,57.9632503080869,18.9845551362241,"S2"
"9","consumption","Others","Europe",16.0506655241792,12.0763742517599,29.8924227770569,67.2797735380968,4.32663702234716,"S2"
"10","consumption","Others","N. America",9.57132512836806,23.548635287572,50.0190275602978,120.403158114551,1.83344011305465,"S2"
"11","consumption","Others","Oceania",8.05659219196594,12.5784806976624,39.9545371987021,50.1256311306783,0.298539594473842,"S2"
"12","consumption","Others","S. America",16.2438135064293,28.2517933007526,95.6325832825759,281.656268715435,4.78071721179653,"S2"
"13","consumption","Rapeseed","Africa",97.5063941689085,99.5483344071595,158.693700321689,401.879429464651,0.000253700645748987,"S2"
"14","consumption","Rapeseed","Asia",8.32173350362299,13.6354533357585,48.0715591351879,100,0.220256869194707,"S2"
"15","consumption","Rapeseed","Europe",47.7485409078749,42.8505240896075,98.4606751989244,680.873007918736,0.106382002087253,"S2"
"16","consumption","Rapeseed","N. America",46.8113192788712,58.5616741043911,96.6913446786181,237.788350676446,0.049644406654428,"S2"
"17","consumption","Rapeseed","Oceania",57.2027126201253,71.5681801173504,100,130.331657640477,0.00491611494382063,"S2"
"18","consumption","Rapeseed","S. America",74.4269979415281,52.1719924651637,94.3850795740195,290.314201886186,0.000710903849974021,"S2"
"19","consumption","Rice","Africa",20.0616131229584,23.424170963055,35.7066738855515,68.2775775596416,0.167938323159191,"S2"
"20","consumption","Rice","Asia",5.47387380532226,10.645528318797,69.3257816342447,197.68379902785,4.51522013041291,"S2"
"21","consumption","Rice","Europe",40.1424162431679,26.3781417480087,73.3428538168623,244.690107459318,0.0374388413165915,"S2"
"22","consumption","Rice","N. America",16.3564712373462,19.9949926470793,56.8073466097176,97.4593739828226,0.0494646295306264,"S2"
"23","consumption","Rice","Oceania",82.9536134240199,58.7903415974921,80.4786224325832,127.44125074626,0.00375961435982945,"S2"
"24","consumption","Rice","S. America",38.3883873993954,22.4603694423275,55.107049815632,987.891620354588,0.142772206725587,"S2"
"25","consumption","Soybeans","Africa",49.5136216462618,52.0068692495451,82.0436679430544,97.8444346444897,0.0150226938738549,"S2"
"26","consumption","Soybeans","Asia",45.4971947823042,47.2013445183668,59.5715980431295,88.3338833507343,0.554928717896496,"S2"
"27","consumption","Soybeans","Europe",30.0397523035684,21.2796626200658,49.1558634235043,81.3608526247061,0.119229357975081,"S2"
"28","consumption","Soybeans","N. America",20.3916134709624,69.5530440859593,97.9392643388118,130.274532203592,0.351770380289856,"S2"
"29","consumption","Soybeans","Oceania",75.7070191349879,93.5854216677248,100,100,0.000317140092482584,"S2"
"30","consumption","Soybeans","S. America",26.5740287536525,104.856593729293,540.510756833456,39659.7619970517,0.433109447239746,"S2"
"31","consumption","Wheat","Africa",29.5661720994859,16.3313214244398,27.3173636771787,53.8728026311852,0.27868780516803,"S2"
"32","consumption","Wheat","Asia",25.379540707652,46.1855231876035,69.9723940680906,86.9247659688266,2.35045890852399,"S2"
"33","consumption","Wheat","Europe",6.3366039462797,8.47738341883835,57.9013627536126,141.243618326266,1.16070704656581,"S2"
"34","consumption","Wheat","N. America",12.3780873110584,15.6382723044179,40.0933645123593,52.990154118168,0.328045247012961,"S2"
"35","consumption","Wheat","Oceania",34.9468053875012,56.5838900380025,82.2584761885799,92.4919377992582,0.0673188728361397,"S2"
"36","consumption","Wheat","S. America",24.1811232354636,27.2394150991584,42.7562188720187,364.329596140121,0.159643796618567,"S2"
"37","price","Corn","Africa",11.0545646242584,7.6893628281065,17.0738135143672,28.9333426499617,0.381247408943977,"S2"
"38","price","Corn","Asia",20.324369511939,7.68936282810651,17.0738135143672,28.9333426499617,2.60010613829404,"S2"
"39","price","Corn","Europe",7.8076841852869,7.68936282810651,17.0738135143672,28.9333426499617,0.543925201180919,"S2"
"40","price","Corn","N. America",38.2522902160495,7.68936282810649,17.0738135143672,28.9333426499617,1.77070493764856,"S2"
"41","price","Corn","Oceania",29.5053018627689,7.68936282810651,17.0738135143672,28.9333426499617,0.00326817796025073,"S2"
"42","price","Corn","S. America",24.1591159493158,7.68936282810651,17.0738135143672,28.9333426499617,0.484023491952783,"S2"
"43","price","Others","Africa",5.25222421634266,4.99820059442697,7.66857502448405,11.6439632797577,2.87483840914946,"S2"
"44","price","Others","Asia",16.1873672837631,4.99820059442697,7.66857502448405,11.6439632797576,18.9845551362241,"S2"
"45","price","Others","Europe",10.6243567678174,4.99820059442697,7.66857502448405,11.6439632797577,4.32663702234716,"S2"
"46","price","Others","N. America",8.13407598612851,4.99820059442697,7.66857502448405,11.6439632797576,1.83344011305465,"S2"
