# File: iso_GCAM_regID.csv,,,,,,
# Title: ISO to GCAM region mapping,,,,,,
# Units: NA,,,,,,
# Description: Maps iso codes to GCAM regions (including composites as necessary),,,,,,
# Column types: ccci ,,,,,,
# ----------,,,,,,
iso,country_name,region_GCAM3,GCAM_region_ID,GCAM_region,region,REG_continent
gum,Guam,Southeast Asia,29,Southeast Asia,S.E.Asia,Asia
guy,Guyana,Latin America,25,South America_Northern,N.S.Amer.,S. America
hkg,Hong Kong,Southeast Asia,11,China,China,Asia
hnd,Honduras,Latin America,9,Central America and Caribbean,C.Amer.,S. America
hrv,Croatia,Eastern Europe,15,Europe_Non_EU,NEU,Europe
hti,Haiti,Latin America,9,Central America and Caribbean,C.Amer.,S. America
hun,Hungary,Eastern Europe,12,EU-12,EU12,Europe
idn,Indonesia,Southeast Asia,18,Indonesia,Indonesia,Asia
imn,Isle of Man,Western Europe,13,EU-15,EU15,Europe
ind,India,India,17,India,India,Asia
irl,Ireland,Western Europe,13,EU-15,EU15,Europe
irn,"Iran, Islamic Republic of",Middle East,21,Middle East,Middle East,Asia
irq,Iraq,Middle East,21,Middle East,Middle East,Asia
isl,Iceland,Western Europe,16,European Free Trade Association,EUP.FTA,Europe
isr,Israel,Middle East,21,Middle East,Middle East,Asia
ita,Italy,Western Europe,13,EU-15,EU15,Europe
jam,Jamaica,Latin America,9,Central America and Caribbean,C.Amer.,S. America
jor,Jordan,Middle East,21,Middle East,Middle East,Asia
jpn,Japan,Japan,19,Japan,Japan,Asia
kaz,Kazakhstan,Former Soviet Union,10,Central Asia,C.Asia,Asia
ken,Kenya,Africa,2,Africa_Eastern,E.AFR,Africa
kgz,Kyrgyzstan,Former Soviet Union,10,Central Asia,C.Asia,Asia
khm,Cambodia,China,29,Southeast Asia,S.E.Asia,Asia
kir,Kiribati,Southeast Asia,29,Southeast Asia,S.E.Asia,Asia
kna,Saint Kitts and Nevis,Latin America,9,Central America and Caribbean,C.Amer.,S. America
kor,"Korea, Republic of",Korea,28,South Korea,S.Korea,Asia
kwt,Kuwait,Middle East,21,Middle East,Middle East,Asia
lao,Lao Peoples Democratic Republic,Southeast Asia,29,Southeast Asia,S.E.Asia,Asia
lbn,Lebanon,Middle East,21,Middle East,Middle East,Asia
lbr,Liberia,Africa,5,Africa_Western,W.AFR,Africa
lby,Libyan Arab Jamahiriya,Africa,3,Africa_Northern,N.AFR,Africa
lca,Saint Lucia,Latin America,9,Central America and Caribbean,C.Amer.,S. America
lie,Liechtenstein,Western Europe,16,European Free Trade Association,EUP.FTA,Europe
