!Header: VOA , dimensions: NSAV_COMM*REG [15*7], description: Value of commodity i output in region r
clerks,Europe,828813.4375
service_shop,Europe,833769.875
off_mgr_pros,Europe,2710509
ag_othlowsk,Europe,1588699.25
Capital,Europe,7911407
NatlRes,Europe,184252.60938
pdr,Europe,2998.2331543
wht,Europe,59665.523438
gro,Europe,52476.539063
osd,Europe,30564.320313
others,Europe,277203.6875
Intermediate,Europe,41935272
CGDS,Europe,4272447.5
Land,N_America,66457.171875
tech_aspros,N_America,1090241.75
clerks,N_America,1284577.875
service_shop,N_America,768233.125
off_mgr_pros,N_America,4949931
ag_othlowsk,N_America,2151340
Capital,N_America,5177124.5
NatlRes,N_America,121677.67188
pdr,N_America,2674.786377
wht,N_America,29381.589844
gro,N_America,83712.9375
osd,N_America,47282.144531
others,N_America,137831.73438
Intermediate,N_America,33326904
CGDS,N_America,3548592.75
Land,Oceania,7369.6015625
tech_aspros,Oceania,149084.84375
clerks,Oceania,98705.671875
service_shop,Oceania,84354.09375
off_mgr_pros,Oceania,334600.34375
ag_othlowsk,Oceania,132369.46875
Capital,Oceania,557754.5
NatlRes,Oceania,28930.052734
pdr,Oceania,267.57049561
wht,Oceania,7909.0380859
gro,Oceania,2796.5756836
osd,Oceania,1969.1907959
others,Oceania,21579.560547
Intermediate,Oceania,3008444.5
CGDS,Oceania,414867.875
Land,S_America,57809.3125
tech_aspros,S_America,356620.375
clerks,S_America,276836.53125
service_shop,S_America,288530.0625
off_mgr_pros,S_America,643391.375
ag_othlowsk,S_America,378962.0625
Capital,S_America,1801696
NatlRes,S_America,70937.367188
pdr,S_America,11251.03418
wht,S_America,10477.826172
gro,S_America,35386.394531
osd,S_America,58668.96875
others,S_America,179235.28125
Intermediate,S_America,7763474
CGDS,S_America,928022.75
Land,ROW,0.57453882694
tech_aspros,ROW,11.93313694
clerks,ROW,7.7024874687
service_shop,ROW,6.6794338226
off_mgr_pros,ROW,27.626527786
ag_othlowsk,ROW,11.098252296
Capital,ROW,72.501586914
NatlRes,ROW,2.9841952324
pdr,ROW,0.10668225586
wht,ROW,0.21292664111
gro,ROW,0.29103556275
osd,ROW,0.19540600479
others,ROW,3.2022387981
Intermediate,ROW,354.75009155
CGDS,ROW,45.927646637
!Header: PTAX, dimensions: NSAV_COMM*REG [15*7], description: output tax on good i in region r
NSAV_COMM,REG,Value
Land,Africa,2719.0058594
tech_aspros,Africa,19502.726563
clerks,Africa,12816.28125
service_shop,Africa,10771.703125
off_mgr_pros,Africa,34533.328125
ag_othlowsk,Africa,37604.53125
Capital,Africa,93239.375
NatlRes,Africa,13567.320313
pdr,Africa,-8.93359375
wht,Africa,249.93164063
gro,Africa,-38.73828125
osd,Africa,-40.23046875
others,Africa,670.234375
Intermediate,Africa,42649.75
Land,Asia,18151.3125
tech_aspros,Asia,134829
clerks,Asia,91383.5
service_shop,Asia,80799.75
off_mgr_pros,Asia,174752
ag_othlowsk,Asia,189870.5
Capital,Asia,454013
NatlRes,Asia,18525.40625
pdr,Asia,-1710.40625
wht,Asia,-7735.28125
gro,Asia,-273.8984375
osd,Asia,-576.7890625
others,Asia,-10081.9375
Intermediate,Asia,373144
Land,Europe,4258.1953125
tech_aspros,Europe,463194.875
clerks,Europe,211600.0625
service_shop,Europe,210090.375
off_mgr_pros,Europe,683950.625
ag_othlowsk,Europe,394499.375
Capital,Europe,539495.5
NatlRes,Europe,11900.90625
pdr,Europe,1.3334960938
wht,Europe,-288.296875
gro,Europe,-102.125
osd,Europe,-18.47265625
others,Europe,-82.65625
Intermediate,Europe,945544
Land,N_America,5422.1445313
tech_aspros,N_America,227156.9375
clerks,N_America,275524.6875
service_shop,N_America,161102.5625
off_mgr_pros,N_America,1058347.25
ag_othlowsk,N_America,432837.875
Capital,N_America,420626
NatlRes,N_America,9878.859375
pdr,N_America,-29.373779297
wht,N_America,-25.7109375
gro,N_America,-55.546875
osd,N_America,-32.39453125
others,N_America,-162.9375
Intermediate,N_America,773820
Land,Oceania,851.125
tech_aspros,Oceania,36494.171875
clerks,Oceania,24111.710938
service_shop,Oceania,20611.324219
off_mgr_pros,Oceania,81983.734375
ag_othlowsk,Oceania,32297.484375
Capital,Oceania,65112.78125
NatlRes,Oceania,3366.9609375
pdr,Oceania,-1.09863281250000E-0003
wht,Oceania,-0.029296875
gro,Oceania,-6.34765625000000E-0003
osd,Oceania,-7.69042968750000E-0003
others,Oceania,-0.052734375
Intermediate,Oceania,44420.75
Land,S_America,4475.6210938
tech_aspros,S_America,12135.4375
clerks,S_America,8049.53125
service_shop,S_America,7034.5625
off_mgr_pros,S_America,12723.8125
ag_othlowsk,S_America,9998.84375
Capital,S_America,159651.875
NatlRes,S_America,5855.5351563
pdr,S_America,3.2060546875
wht,S_America,61.63671875
gro,S_America,122.65234375
osd,S_America,1007.8828125
others,S_America,589.40625
Intermediate,S_America,87137
Land,ROW,0.035152494907
tech_aspros,ROW,2.4016647339
clerks,ROW,1.5502104759
service_shop,ROW,1.3443098068
off_mgr_pros,ROW,5.5601425171
ag_othlowsk,ROW,2.2336435318
Capital,ROW,4.4359283447
NatlRes,ROW,0.18258500099
pdr,ROW,-8.37445259094238E-0006
wht,ROW,-1.34110450744629E-0007
gro,ROW,-2.14576721191406E-0006
osd,ROW,-8.49366188049316E-0006
others,ROW,4.05311584472656E-0006
Intermediate,ROW,4.1437072754
!Header: AG01, dimensions: REG*GDPEXPEND [7*5], description: GDPEXP = C + I + G + X - M, GDP from the expenditure side
REG,GDPEXPEND,Value
Africa,cons,1309518
Asia,cons,11374532
Europe,cons,12955100
N_America,cons,12714893
Oceania,cons,874453.25
S_America,cons,2895200
ROW,cons,102.43428802
Africa,inv,455689.3125
Asia,inv,7175127
Europe,inv,4272447.5
N_America,inv,3548592.75
Oceania,inv,414867.875
S_America,inv,928022.75
ROW,inv,45.927646637
Africa,gov,336696.59375
Asia,gov,3407569
Europe,gov,4606453
N_America,gov,3096888
Oceania,gov,291357.65625
S_America,gov,819555.4375
ROW,gov,33.379608154
Africa,export,654711.25
Asia,export,7199073.5
Europe,export,8373413.5
N_America,export,2730256.25
Oceania,export,347473.5
S_America,export,848953.625
ROW,export,52.331214905
Africa,imp,-680104.625
Asia,imp,-6474944.5
Europe,imp,-8344675.5
N_America,imp,-3499580.75
Oceania,imp,-332921.90625
S_America,imp,-821654.875
ROW,imp,-52.418247223
!Header: AG02, dimensions: REG*GDPSOURCE [7*3], description: GDPSRC = NETFACTINC + NETAXES + VDEP, GDP from the sources side
REG,GDPSOURCE,Value
Africa,fact,1436681.125
Asia,fact,15671237
Europe,fact,10465042
N_America,fact,10751645
Oceania,fact,898461.9375
S_America,fact,3013957.75
ROW,fact,97.299301147
Africa,tax,452117.84375
Asia,tax,3774494
Europe,tax,8519899
N_America,tax,5572365
Oceania,tax,466891.21875
S_America,tax,1015219.75
ROW,tax,58.297977448
Africa,depr,187711.70313
Asia,depr,3235627
Europe,depr,2877800
N_America,depr,2267042.25
Oceania,depr,229877.45313
S_America,depr,640900.0625
ROW,depr,26.057224274
!Header: AG03, dimensions: ENDW_COMM*PROD_COMM*REG [8*7*7], description: Sources of factor income (NETFACTINC + VDEP) by sector - EVFA(j,r)
ENDW_COMM,PROD_COMM,REG,Value
Land,pdr,Africa,2303.5014648
tech_aspros,pdr,Africa,148.67268372
clerks,pdr,Africa,259.75964355
service_shop,pdr,Africa,152.2852478
off_mgr_pros,pdr,Africa,389.215271
ag_othlowsk,pdr,Africa,12240.226563
Capital,pdr,Africa,3762.2888184
Land,wht,Africa,959.4263916
tech_aspros,wht,Africa,96.696411133
clerks,wht,Africa,50.817726135
service_shop,wht,Africa,63.424274445
off_mgr_pros,wht,Africa,227.42729187
ag_othlowsk,wht,Africa,4573.4331055
Capital,wht,Africa,2513.1740723
Land,gro,Africa,5479.8613281
tech_aspros,gro,Africa,346.60894775
clerks,gro,Africa,621.40252686
service_shop,gro,Africa,595.30297852
off_mgr_pros,gro,Africa,1142.0603027
ag_othlowsk,gro,Africa,27898.296875
Capital,gro,Africa,8697.9453125
Land,osd,Africa,2650.5996094
tech_aspros,osd,Africa,173.60594177
clerks,osd,Africa,312.70013428
service_shop,osd,Africa,258.9432373
off_mgr_pros,osd,Africa,558.78118896
ag_othlowsk,osd,Africa,13727.707031
Capital,osd,Africa,4061.1105957
Land,others,Africa,19598.160156
tech_aspros,others,Africa,1281.3052979
clerks,others,Africa,2120.9401855
service_shop,others,Africa,1857.3770752
off_mgr_pros,others,Africa,4087.979248
ag_othlowsk,others,Africa,99983.328125
Capital,others,Africa,33397.542969
Land,Intermediate,Africa,4436.7856445
tech_aspros,Intermediate,Africa,146607.625
clerks,Intermediate,Africa,89006.664063
service_shop,Intermediate,Africa,85446.289063
off_mgr_pros,Intermediate,Africa,287747.375
ag_othlowsk,Intermediate,Africa,179521.23438
Capital,Intermediate,Africa,770252.8125
NatlRes,Intermediate,Africa,100076.76563
Land,pdr,Asia,59347.332031
tech_aspros,pdr,Asia,975.92773438
clerks,pdr,Asia,1313.4416504
service_shop,pdr,Asia,3886.9509277
off_mgr_pros,pdr,Asia,2326.6257324
ag_othlowsk,pdr,Asia,67942.523438
Capital,pdr,Asia,20980.896484
Land,wht,Asia,15816.202148
tech_aspros,wht,Asia,199.85591125
clerks,wht,Asia,396.82919312
service_shop,wht,Asia,1170.9985352
off_mgr_pros,wht,Asia,621.7644043
ag_othlowsk,wht,Asia,22312.541016
Capital,wht,Asia,8831.9980469
Land,gro,Asia,18029.107422
tech_aspros,gro,Asia,343.91815186
clerks,gro,Asia,650.36956787
service_shop,gro,Asia,1953.5517578
off_mgr_pros,gro,Asia,1087.1119385
ag_othlowsk,gro,Asia,26297.355469
Capital,gro,Asia,8322.3300781
Land,osd,Asia,30092.564453
tech_aspros,osd,Asia,516.75201416
clerks,osd,Asia,555.88348389
service_shop,osd,Asia,1643.1143799
off_mgr_pros,osd,Asia,938.09692383
ag_othlowsk,osd,Asia,31443.773438
Capital,osd,Asia,9513.1064453
Land,others,Asia,205345.35938
tech_aspros,others,Asia,3392.7070313
clerks,others,Asia,5246.4848633
service_shop,others,Asia,15372.768555
off_mgr_pros,others,Asia,7931.4272461
ag_othlowsk,others,Asia,258122.29688
Capital,others,Asia,89735.460938
Land,Intermediate,Asia,116532.32031
tech_aspros,Intermediate,Asia,1684702.5
clerks,Intermediate,Asia,1273705.125
service_shop,Intermediate,Asia,1258737.875
off_mgr_pros,Intermediate,Asia,2517802.75
ag_othlowsk,Intermediate,Asia,3213893
Capital,Intermediate,Asia,9381134
NatlRes,Intermediate,Asia,505970
Land,pdr,Europe,376.40875244
tech_aspros,pdr,Europe,38.082431793
clerks,pdr,Europe,15.635694504
service_shop,pdr,Europe,12.339083672
off_mgr_pros,pdr,Europe,146.49691772
ag_othlowsk,pdr,Europe,1008.5966797
Capital,pdr,Europe,348.95361328
Land,wht,Europe,6386.8413086
tech_aspros,wht,Europe,893.347229
clerks,wht,Europe,474.75994873
service_shop,wht,Europe,282.26275635
off_mgr_pros,wht,Europe,2013.0109863
ag_othlowsk,wht,Europe,16479.615234
Capital,wht,Europe,6032.5356445
Land,gro,Europe,6322.012207
tech_aspros,gro,Europe,791.38366699
clerks,gro,Europe,388.06842041
service_shop,gro,Europe,228.60273743
off_mgr_pros,gro,Europe,2067.0922852
ag_othlowsk,gro,Europe,14809.202148
Capital,gro,Europe,5427.0380859
Land,osd,Europe,3437.6584473
tech_aspros,osd,Europe,440.23498535
clerks,osd,Europe,234.40071106
service_shop,osd,Europe,145.34507751
off_mgr_pros,osd,Europe,1024.8352051
ag_othlowsk,osd,Europe,8152.3491211
Capital,osd,Europe,2800.6662598
Land,others,Europe,29672.853516
tech_aspros,others,Europe,4237.4116211
clerks,others,Europe,2216.579834
service_shop,others,Europe,1562.3417969
off_mgr_pros,others,Europe,13514.858398
ag_othlowsk,others,Europe,89229.976563
Capital,others,Europe,36104.613281
Land,Intermediate,Europe,20733.513672
tech_aspros,Intermediate,Europe,2377087.75
clerks,Intermediate,Europe,1132699.375
service_shop,Intermediate,Europe,1111732.875
off_mgr_pros,Intermediate,Europe,3649329.25
ag_othlowsk,Intermediate,Europe,2005931.875
Capital,Intermediate,Europe,8010070.5
NatlRes,Intermediate,Europe,187947.10938
Land,pdr,N_America,408.59902954
tech_aspros,pdr,N_America,12.204374313
clerks,pdr,N_America,26.686431885
service_shop,pdr,N_America,22.682714462
off_mgr_pros,pdr,N_America,393.27539063
ag_othlowsk,pdr,N_America,116.04841614
Capital,pdr,N_America,482.38354492
Land,wht,N_America,3645.9382324
tech_aspros,wht,N_America,99.571357727
clerks,wht,N_America,214.58889771
service_shop,wht,N_America,178.29037476
off_mgr_pros,wht,N_America,3169.1879883
ag_othlowsk,wht,N_America,2037.3605957
Capital,wht,N_America,5219.0390625
Land,gro,N_America,10854.604492
tech_aspros,gro,N_America,187.28442383
clerks,gro,N_America,629.93865967
service_shop,gro,N_America,552.46655273
off_mgr_pros,gro,N_America,10176.444336
ag_othlowsk,gro,N_America,3893.0830078
Capital,gro,N_America,13152.925781
Land,osd,N_America,6411.296875
tech_aspros,osd,N_America,146.94009399
clerks,osd,N_America,400.04623413
service_shop,osd,N_America,337.85177612
off_mgr_pros,osd,N_America,6131.5649414
ag_othlowsk,osd,N_America,2578.9970703
Capital,osd,N_America,8838.1689453
Land,others,N_America,22802.632813
tech_aspros,others,N_America,466.12573242
clerks,others,N_America,1123.1812744
service_shop,others,N_America,991.04425049
off_mgr_pros,others,N_America,17841.820313
ag_othlowsk,others,N_America,13337.760742
Capital,others,N_America,27037.041016
Land,Intermediate,N_America,11543.071289
tech_aspros,Intermediate,N_America,1250629.625
clerks,Intermediate,N_America,1475782
service_shop,Intermediate,N_America,880108.5
off_mgr_pros,Intermediate,N_America,5650336.5
ag_othlowsk,Intermediate,N_America,2438772.5
Capital,Intermediate,N_America,5269945
NatlRes,Intermediate,N_America,125671.0625
Land,pdr,Oceania,27.928924561
tech_aspros,pdr,Oceania,9.2344770432
clerks,pdr,Oceania,2.2399690151
service_shop,pdr,Oceania,1.5176119804
off_mgr_pros,pdr,Oceania,30.220718384
ag_othlowsk,pdr,Oceania,24.726989746
Capital,pdr,Oceania,37.139507294
Land,wht,Oceania,1050.7755127
tech_aspros,wht,Oceania,347.6932373
clerks,wht,Oceania,84.338661194
service_shop,wht,Oceania,57.140731812
off_mgr_pros,wht,Oceania,1137.8618164
ag_othlowsk,wht,Oceania,931.01519775
Capital,wht,Oceania,1395.8966064
Land,gro,Oceania,242.39575195
tech_aspros,gro,Oceania,82.205780029
clerks,gro,Oceania,19.940561295
service_shop,gro,Oceania,13.510138512
off_mgr_pros,gro,Oceania,269.02990723
ag_othlowsk,gro,Oceania,220.12753296
Capital,gro,Oceania,321.35119629
Land,osd,Oceania,290.21154785
tech_aspros,osd,Oceania,89.670082092
clerks,osd,Oceania,21.752279282
service_shop,osd,Oceania,14.738173485
off_mgr_pros,osd,Oceania,293.47409058
ag_othlowsk,osd,Oceania,240.14639282
Capital,osd,Oceania,354.64480591
Land,others,Oceania,2662.8762207
tech_aspros,others,Oceania,870.99267578
clerks,others,Oceania,211.28948975
service_shop,others,Oceania,143.15986633
off_mgr_pros,others,Oceania,2850.6462402
ag_othlowsk,others,Oceania,2332.6982422
Capital,others,Oceania,3260.2087402
Land,Intermediate,Oceania,3169.0107422
tech_aspros,Intermediate,Oceania,153573.42188
clerks,Intermediate,Oceania,102326.71875
service_shop,Intermediate,Oceania,87513.773438
off_mgr_pros,Intermediate,Oceania,343112.09375
ag_othlowsk,Intermediate,Oceania,133711.70313
Capital,Intermediate,Oceania,566814.8125
NatlRes,Intermediate,Oceania,29771
Land,pdr,S_America,1685.0579834
tech_aspros,pdr,S_America,136.24391174
clerks,pdr,S_America,68.942703247
service_shop,pdr,S_America,108.31565094
off_mgr_pros,pdr,S_America,262.55142212
ag_othlowsk,pdr,S_America,2191.9550781
Capital,pdr,S_America,2433.765625
Land,wht,S_America,1670.4377441
tech_aspros,wht,S_America,208.91755676
clerks,wht,S_America,94.994186401
service_shop,wht,S_America,363.61807251
off_mgr_pros,wht,S_America,224.90193176
ag_othlowsk,wht,S_America,1885.6606445
Capital,wht,S_America,1833.6531982
Land,gro,S_America,4618.9287109
tech_aspros,gro,S_America,431.08309937
clerks,gro,S_America,210.37672424
service_shop,gro,S_America,767.61645508
off_mgr_pros,gro,S_America,574.99530029
ag_othlowsk,gro,S_America,5598.3569336
Capital,gro,S_America,8069.480957
Land,osd,S_America,7604.7373047
tech_aspros,osd,S_America,817.92285156
clerks,osd,S_America,412.93676758
service_shop,osd,S_America,1720.645752
off_mgr_pros,osd,S_America,1152.8115234
ag_othlowsk,osd,S_America,8104.0214844
Capital,osd,S_America,15709.3125
Land,others,S_America,25953.474609
tech_aspros,others,S_America,1949.2880859
clerks,others,S_America,1000.6573486
service_shop,others,S_America,1785.4196777
off_mgr_pros,others,S_America,3720.802002
ag_othlowsk,others,S_America,33806.328125
Capital,others,S_America,45785.5
Land,Intermediate,S_America,16969.232422
tech_aspros,Intermediate,S_America,409578.40625
clerks,Intermediate,S_America,319314.3125
service_shop,Intermediate,S_America,338033.40625
off_mgr_pros,Intermediate,S_America,752166.625
ag_othlowsk,Intermediate,S_America,384036.75
Capital,Intermediate,S_America,1746977.5
NatlRes,Intermediate,S_America,71617.015625
Land,pdr,ROW,0.010380863212
tech_aspros,pdr,ROW,4.78175980970263E-0003
clerks,pdr,ROW,1.16571050602942E-0003
service_shop,pdr,ROW,8.35520913824439E-0004
off_mgr_pros,pdr,ROW,0.015690024942
ag_othlowsk,pdr,ROW,0.016306387261
Capital,pdr,ROW,0.015608713031
Land,wht,ROW,0.012886959128
tech_aspros,wht,ROW,5.93590829521418E-0003
clerks,wht,ROW,1.44713080953806E-0003
service_shop,wht,ROW,1.03722815401852E-0003
off_mgr_pros,wht,ROW,0.019477833062
ag_othlowsk,wht,ROW,0.020242992789
Capital,wht,ROW,0.019376892596
Land,gro,ROW,0.019926689565
tech_aspros,gro,ROW,9.17795486748219E-0003
clerks,gro,ROW,2.23765172995627E-0003
service_shop,gro,ROW,1.60383223555982E-0003
off_mgr_pros,gro,ROW,0.03011794202
ag_othlowsk,gro,ROW,0.031301084906
Capital,gro,ROW,0.029961859807
Land,osd,ROW,0.011762527749
tech_aspros,osd,ROW,5.41806640103459E-0003
clerks,osd,ROW,1.32086349185556E-0003
service_shop,osd,ROW,9.46726300753653E-0004
off_mgr_pros,osd,ROW,0.017778323963
ag_othlowsk,osd,ROW,0.018476724625
Capital,osd,ROW,0.017686191946
Land,others,ROW,0.22068278491
tech_aspros,others,ROW,0.1016363427
clerks,others,ROW,0.024781398475
service_shop,others,ROW,0.017762016505
off_mgr_pros,others,ROW,0.33354818821
ag_othlowsk,others,ROW,0.34665116668
Capital,others,ROW,0.33181965351
Land,Intermediate,ROW,0.31079182029
tech_aspros,Intermediate,ROW,14.367682457
clerks,Intermediate,ROW,9.3249130249
service_shop,Intermediate,ROW,8.0910224915
off_mgr_pros,Intermediate,ROW,33.140090942
ag_othlowsk,Intermediate,ROW,13.047571182
Capital,Intermediate,ROW,73.587882996
NatlRes,Intermediate,ROW,3.0459671021
!Header: AG04, dimensions: REG*CAPACCT [7*2], description: S - I = X - M: CAPITALACCT
REG,CAPACCT,Value
Africa,save,242586.46875
Asia,save,4663631.5
Europe,save,1423386.375
N_America,save,512223.0625
Oceania,save,199542.03125
S_America,save,314421.5
ROW,save,19.78338623
Africa,inv,-267977.625
Asia,inv,-3939500
Europe,inv,-1394647.5
N_America,inv,-1281550.5
Oceania,inv,-184990.42188
S_America,inv,-287122.6875
ROW,inv,-19.870422363
!Header: AG05, dimensions: REG*CURACCT*TRAD_COMM [7*2*6], description: X - M = S - I: CURRENTACCT
REG,CURACCT,TRAD_COMM,Value
Africa,export,pdr,85.484359741
Asia,export,pdr,1107.8435059
Europe,export,pdr,330.59210205
N_America,export,pdr,841.61260986
Oceania,export,pdr,4.3452935219
S_America,export,pdr,520.50628662
ROW,export,pdr,2.59680533781648E-0003
Africa,imp,pdr,-175.28082275
Asia,imp,pdr,-756.52270508
Europe,imp,pdr,-1138.0756836
N_America,imp,pdr,-457.57495117
Oceania,imp,pdr,-15.095919609
S_America,imp,pdr,-628.82580566
ROW,imp,pdr,-3.37434769608080E-0003
Africa,export,wht,262.57192993
Asia,export,wht,1847.208374
Europe,export,wht,21472.125
N_America,export,wht,19837.751953
Oceania,export,wht,6285.7792969
S_America,export,wht,4168.097168
ROW,export,wht,0.12413015962
Africa,imp,wht,-18596.708984
Asia,imp,wht,-18545.519531
Europe,imp,wht,-12596.009766
N_America,imp,wht,-2220.5854492
Oceania,imp,wht,-340.09490967
S_America,imp,wht,-5469.5429688
ROW,imp,wht,-0.13366405666
Africa,export,gro,1341.7706299
Asia,export,gro,2033.5675049
Europe,export,gro,14199.108398
N_America,export,gro,18004.869141
Oceania,export,gro,1591.0246582
S_America,export,gro,8898.0166016
ROW,export,gro,0.10256656259
Africa,imp,gro,-5258.2602539
Asia,imp,gro,-22003.632813
Europe,imp,gro,-11669.322266
N_America,imp,gro,-5675.2241211
Oceania,imp,gro,-41.938873291
S_America,imp,gro,-5138.2260742
ROW,imp,gro,-0.11214387417
Africa,export,osd,1245.8919678
Asia,export,osd,3054.972168
Europe,export,osd,9422.0263672
N_America,export,osd,28548.486328
Oceania,export,osd,898.11108398
S_America,export,osd,26248.302734
ROW,export,osd,0.16743507981
Africa,imp,osd,-1810.4439697
Asia,imp,osd,-53823.066406
Europe,imp,osd,-19666.277344
N_America,imp,osd,-5249.059082
Oceania,imp,osd,-47.300086975
S_America,imp,osd,-988.84924316
ROW,imp,osd,-0.19737626612
Africa,export,others,26463.75
Asia,export,others,52844.597656
Europe,export,others,67050.9375
N_America,export,others,40337.105469
Oceania,export,others,6874.7128906
S_America,export,others,45428.003906
ROW,export,others,0.58687359095
Africa,imp,others,-8713.5527344
Asia,imp,others,-80393.515625
Europe,imp,others,-122994.17969
N_America,imp,others,-49340.839844
Oceania,imp,others,-2198.3371582
S_America,imp,others,-7824.3540039
ROW,imp,others,-0.66899251938
Africa,export,Intermediate,625311.8125
Asia,export,Intermediate,7138185.5
Europe,export,Intermediate,8260938.5
N_America,export,Intermediate,2622686.5
Oceania,export,Intermediate,331819.53125
S_America,export,Intermediate,763690.6875
ROW,export,Intermediate,51.347614288
Africa,imp,Intermediate,-645550.4375
Asia,imp,Intermediate,-6299422.5
Europe,imp,Intermediate,-8176611.5
N_America,imp,Intermediate,-3436637.75
Oceania,imp,Intermediate,-330279.15625
S_America,imp,Intermediate,-801605.1875
ROW,imp,Intermediate,-51.302692413
!Header: AG06, dimensions: REG [7], description: Capital stock by region - VKB
REG,Value
Africa,4692792.5
Asia,80890680
Europe,71945000
N_America,56676060
Oceania,5746937.5
S_America,16022503
ROW,651.43060303
!Header: BI01, dimensions: TRAD_COMM*REG*REG*EXPVALUE [6*7*7*2], description: Decomposition of exports at world prices: VXWD=VXMD+XTAX
TRAD_COMM,REG,REG,EXPVALUE,Value
pdr,Africa,Africa,exprev,35.160175323
wht,Africa,Africa,exprev,135.44070435
gro,Africa,Africa,exprev,392.78274536
osd,Africa,Africa,exprev,143.95863342
others,Africa,Africa,exprev,2552.3007813
Intermediate,Africa,Africa,exprev,54700.132813
pdr,Asia,Africa,exprev,109.75588226
wht,Asia,Africa,exprev,280.90625
gro,Asia,Africa,exprev,20.145336151
