!Header: VOA , dimensions: NSAV_COMM*REG [15*7], description: Value of commodity i output in region r
NSAV_COMM,REG,Value
Land,Africa,32218.783203
tech_aspros,Africa,121187.35156
clerks,Africa,74727.90625
service_shop,Africa,72464.671875
off_mgr_pros,Africa,242100.42188
ag_othlowsk,Africa,276401.34375
Capital,Africa,720016.125
NatlRes,Africa,85276.296875
pdr,Africa,22331.287109
wht,Africa,17147.861328
gro,Africa,56134.714844
osd,Africa,26378.765625
others,Africa,210697.75
Intermediate,Africa,3383488.5
CGDS,Africa,455689.3125
Land,Asia,455432.6875
tech_aspros,Asia,1390920
clerks,Asia,1088250.25
service_shop,Asia,1117502.375
off_mgr_pros,Asia,2155865.25
ag_othlowsk,Asia,3248496
Capital,Asia,8967375
NatlRes,Asia,483021.8125
pdr,Asia,225681.3125
wht,Asia,101087.92188
gro,Asia,100066.16406
osd,Asia,106278.88281
others,Asia,825574.375
Intermediate,Asia,49316336
CGDS,Asia,7175127
Land,Europe,63725.882813
tech_aspros,Europe,1273201.375
clerks,Europe,617213.375
service_shop,Europe,623679.5
off_mgr_pros,Europe,2026558.375
ag_othlowsk,Europe,1194199.875
Capital,Europe,7371911.5
NatlRes,Europe,172351.70313
pdr,Europe,2996.8996582
wht,Europe,59953.820313
gro,Europe,52578.664063
osd,Europe,30582.792969
others,Europe,277286.34375
Intermediate,Europe,40989728
CGDS,Europe,4272447.5
Land,N_America,61035.027344
tech_aspros,N_America,863084.8125
clerks,N_America,1009053.1875
service_shop,N_America,607130.5625
off_mgr_pros,N_America,3891583.75
ag_othlowsk,N_America,1718502.125
Capital,N_America,4756498.5
NatlRes,N_America,111798.8125
pdr,N_America,2704.1601563
wht,N_America,29407.300781
gro,N_America,83768.484375
osd,N_America,47314.539063
others,N_America,137994.67188
Intermediate,N_America,32553084
CGDS,N_America,3548592.75
Land,Oceania,6518.4765625
tech_aspros,Oceania,112590.67188
clerks,Oceania,74593.960938
service_shop,Oceania,63742.769531
off_mgr_pros,Oceania,252616.60938
ag_othlowsk,Oceania,100071.98438
Capital,Oceania,492641.71875
NatlRes,Oceania,25563.091797
pdr,Oceania,267.57159424
wht,Oceania,7909.0673828
gro,Oceania,2796.5820313
osd,Oceania,1969.1984863
others,Oceania,21579.613281
Intermediate,Oceania,2964023.75
CGDS,Oceania,414867.875
Land,S_America,53333.691406
tech_aspros,S_America,344484.9375
clerks,S_America,268787
service_shop,S_America,281495.5
off_mgr_pros,S_America,630667.5625
ag_othlowsk,S_America,368963.21875
Capital,S_America,1642044.125
NatlRes,S_America,65081.832031
pdr,S_America,11247.828125
wht,S_America,10416.189453
gro,S_America,35263.742188
osd,S_America,57661.085938
others,S_America,178645.875
Intermediate,S_America,7676337
CGDS,S_America,928022.75
Land,ROW,0.53938633204
tech_aspros,ROW,9.5314722061
clerks,ROW,6.1522769928
service_shop,ROW,5.3351240158
off_mgr_pros,ROW,22.066385269
ag_othlowsk,ROW,8.8646087646
Capital,ROW,68.065658569
NatlRes,ROW,2.8016102314
pdr,ROW,0.10669063032
wht,ROW,0.21292677522
gro,ROW,0.29103770852
osd,ROW,0.19541449845
others,ROW,3.202234745
Intermediate,ROW,350.60638428
CGDS,ROW,45.927646637
!Header: VOM , dimensions: NSAV_COMM*REG [15*7], description: Value of commodity i output in region r at market prices
NSAV_COMM,REG,Value
Land,Africa,34937.789063
tech_aspros,Africa,140690.07813
clerks,Africa,87544.1875
service_shop,Africa,83236.375
off_mgr_pros,Africa,276633.75
ag_othlowsk,Africa,314005.875
Capital,Africa,813255.5
NatlRes,Africa,98843.617188
pdr,Africa,22322.353516
wht,Africa,17397.792969
gro,Africa,56095.976563
osd,Africa,26338.535156
others,Africa,211367.98438
Intermediate,Africa,3426138.25
CGDS,Africa,455689.3125
Land,Asia,473584
tech_aspros,Asia,1525749
clerks,Asia,1179633.75
service_shop,Asia,1198302.125
off_mgr_pros,Asia,2330617.25
ag_othlowsk,Asia,3438366.5
Capital,Asia,9421388
NatlRes,Asia,501547.21875
pdr,Asia,223970.90625
wht,Asia,93352.640625
gro,Asia,99792.265625
osd,Asia,105702.09375
others,Asia,815492.4375
Intermediate,Asia,49689480
CGDS,Asia,7175127
Land,Europe,67984.078125
tech_aspros,Europe,1736396.25
