!Header: AG01, dimensions: REG*GDPEXPEND [6*5], description: GDPEXP = C + I + G + X - M, GDP from the expenditure side
REG,GDPEXPEND,Value
Capital,Intermediate,Oceania,148106.17188
NatRes,Intermediate,Oceania,5920.1362305
Land,pdr,S_America,514.19537354
UnSkLab,pdr,S_America,825.01672363
SkLab,pdr,S_America,16.81983757
Capital,pdr,S_America,799.53662109
Land,wht,S_America,981.03625488
UnSkLab,wht,S_America,1608.5640869
SkLab,wht,S_America,35.192073822
Capital,wht,S_America,923.65814209
Land,gro,S_America,1447.8200684
UnSkLab,gro,S_America,2340.3779297
SkLab,gro,S_America,51.925109863
Capital,gro,S_America,1900.1553955
Land,osd,S_America,1588.553833
UnSkLab,osd,S_America,2511.9082031
SkLab,osd,S_America,66.054542542
Capital,osd,S_America,2834.9624023
Land,others,S_America,8950.8496094
UnSkLab,others,S_America,14514.393555
SkLab,others,S_America,278.66497803
Capital,others,S_America,11697.144531
Land,Intermediate,S_America,7002.9370117
UnSkLab,Intermediate,S_America,402624.03125
SkLab,Intermediate,S_America,206342.4375
Capital,Intermediate,S_America,516762.84375
NatRes,Intermediate,S_America,14143.117188
!Header: AG04, dimensions: REG*CAPACCT [6*2], description: S - I = X - M: CAPITALACCT
REG,CAPACCT,Value
Africa,save,41766.113281
Asia,save,1411888.875
Europe,save,882839.875
N_America,save,861846.75
Oceania,save,48688.167969
S_America,save,105050.24219
Africa,inv,-42204.453125
Asia,inv,-1117536.25
Europe,inv,-810506.25
N_America,inv,-1212344
Oceania,inv,-46652.980469
S_America,inv,-122834.89063
!Header: AG05, dimensions: REG*CURACCT*TRAD_COMM [6*2*6], description: X - M = S - I: CURRENTACCT
REG,CURACCT,TRAD_COMM,Value
Africa,export,pdr,44.807003021
Asia,export,pdr,1411.3483887
Europe,export,pdr,149.71090698
N_America,export,pdr,286.19265747
Oceania,export,pdr,22.19054985
S_America,export,pdr,156.20680237
Africa,imp,pdr,-54.699794769
Asia,imp,pdr,-1331.7233887
Europe,imp,pdr,-462.07647705
N_America,imp,pdr,-138.35127258
Oceania,imp,pdr,-6.5896654129
S_America,imp,pdr,-229.59690857
Africa,export,wht,118.89316559
Asia,export,wht,1152.838623
Europe,export,wht,4715.0639648
N_America,export,wht,6755.6328125
Oceania,export,wht,1675.2198486
S_America,export,wht,1794.8876953
Africa,imp,wht,-3300.6298828
Asia,imp,wht,-6292.3164063
Europe,imp,wht,-4211.1181641
N_America,imp,wht,-764.73162842
Oceania,imp,wht,-28.565896988
S_America,imp,wht,-2368.956543
Africa,export,gro,326.68408203
Asia,export,gro,1208.9545898
Europe,export,gro,3330.0795898
N_America,export,gro,6326.0004883
Oceania,export,gro,524.47814941
S_America,export,gro,2262.8955078
Africa,imp,gro,-1358.0153809
Asia,imp,gro,-6568.4658203
Europe,imp,gro,-3316.682373
N_America,imp,gro,-2132.6074219
Oceania,imp,gro,-17.220813751
S_America,imp,gro,-1222.1191406
Africa,export,osd,341.54846191
Asia,export,osd,1170.6209717
Europe,export,osd,1477.7005615
N_America,export,osd,7038.4858398
Oceania,export,osd,417.32595825
S_America,export,osd,5141.4697266
Africa,imp,osd,-285.39883423
