!Header: VOA , dimensions: NSAV_COMM*REG [12*7], description: Value of commodity i output in region r
gro,Oceania,2853.9858398
osd,Oceania,1439.845459
others,Oceania,13228.865234
Intermediate,Oceania,1987643.75
CGDS,Oceania,271594.03125
Land,S_America,34475.054688
UnSkLab,S_America,775661.0625
SkLab,S_America,374874.625
Capital,S_America,1108019.375
NatRes,S_America,45919.261719
pdr,S_America,8097.3520508
wht,S_America,7802.1044922
gro,S_America,21334.513672
osd,S_America,31094.65625
others,S_America,104964.45313
Intermediate,S_America,4764329.5
CGDS,S_America,555202.4375
Land,ROW,0.34769579768
UnSkLab,ROW,26.092903137
SkLab,ROW,14.576119423
Capital,ROW,48.722686768
NatRes,ROW,1.687229991
pdr,ROW,0.013495258056
wht,ROW,0.11173850298
gro,ROW,0.14503677189
osd,ROW,0.19483698905
others,ROW,1.5890756845
Intermediate,ROW,236.41729736
CGDS,ROW,31.223588943
!Header: PTAX, dimensions: NSAV_COMM*REG [12*7], description: output tax on good i in region r
NSAV_COMM,REG,Value
Land,Africa,1469.3925781
UnSkLab,Africa,56065.5
SkLab,Africa,21671.460938
Capital,Africa,60545.1875
NatRes,Africa,10193.367188
pdr,Africa,-2.7998046875
wht,Africa,207.79101563
gro,Africa,-43.91796875
osd,Africa,-45.977539063
others,Africa,512.5234375
Intermediate,Africa,29977.75
Land,Asia,10940.21875
UnSkLab,Asia,306384.25
SkLab,Asia,162903.875
Capital,Asia,304838.5
NatRes,Asia,11089.25
pdr,Asia,-1291.21875
wht,Asia,-4884.4609375
gro,Asia,-191.984375
osd,Asia,-345.4375
others,Asia,-6528.53125
Intermediate,Asia,371088
Land,Europe,6167.7578125
UnSkLab,Europe,1079927.75
SkLab,Europe,753596.5
Capital,Europe,509652.5
NatRes,Europe,8721.234375
pdr,Europe,-11.805175781
wht,Europe,-196.12890625
gro,Europe,-150.61328125
osd,Europe,-254.00195313
others,Europe,-1582.9375
Intermediate,Europe,871632
Land,N_America,3874.5976563
UnSkLab,N_America,1090342.75
SkLab,N_America,833808.75
Capital,N_America,375457
NatRes,N_America,6963.171875
pdr,N_America,-15.513916016
wht,N_America,-2.814453125
gro,N_America,-34.5
osd,N_America,-16.181640625
others,N_America,-342.375
Intermediate,N_America,689126
Land,Oceania,769.01660156
UnSkLab,Oceania,74886.328125
SkLab,Oceania,51451.328125
Capital,Oceania,42302.78125
NatRes,Oceania,1825.0742188
pdr,Oceania,-0.71243667603
wht,Oceania,-0.11279296875
gro,Oceania,-0.086669921875
osd,Oceania,-0.036376953125
others,Oceania,-0.236328125
Intermediate,Oceania,59434
Land,S_America,2573.1738281
UnSkLab,S_America,23354.3125
SkLab,S_America,11284.21875
Capital,S_America,94404
NatRes,S_America,3556.7070313
pdr,S_America,-0.88134765625
wht,S_America,64.345703125
gro,S_America,8.005859375
osd,S_America,492.83007813
others,S_America,-826.40625
Intermediate,S_America,48086.5
Land,ROW,0.021885484457
UnSkLab,ROW,6.2898159027
SkLab,ROW,3.5136480331
Capital,ROW,3.0668182373
NatRes,ROW,0.1062015295
pdr,ROW,2.72414647042751E-0004
wht,ROW,1.25360488891601E-0003
gro,ROW,1.41237676143646E-0003
osd,ROW,9.93444025516510E-0003
others,ROW,9.97960567474365E-0003
Intermediate,ROW,3.7623748779
!Header: AG01, dimensions: REG*GDPEXPEND [7*5], description: GDPEXP = C + I + G + X - M, GDP from the expenditure side
REG,GDPEXPEND,Value
Africa,cons,806917.875
Asia,cons,7110241.5
Europe,cons,11745953
N_America,cons,11433850
Oceania,cons,576574.75
S_America,cons,1729936.75
ROW,cons,69.656204224
Africa,inv,294852.96875
Asia,inv,4066376.25
Europe,inv,4408166
N_America,inv,3236301.75
Oceania,inv,271594.03125
S_America,inv,555202.4375
ROW,inv,31.223588943
Africa,gov,187411.79688
Asia,gov,2062701.5
Europe,gov,4033695
N_America,gov,2647888
Oceania,gov,184143.90625
S_America,gov,479411.46875
ROW,gov,21.983158112
Africa,export,494030.46875
Asia,export,4997875
Europe,export,6945305
N_America,export,2092627
Oceania,export,215680.4375
S_America,export,575508
ROW,export,34.571208954
Africa,imp,-454605.71875
Asia,imp,-4249245.5
Europe,imp,-6982450
N_America,imp,-2891043.25
Oceania,imp,-220935.90625
S_America,imp,-522747.09375
ROW,imp,-34.868312836
!Header: AG02, dimensions: REG*GDPSOURCE [7*3], description: GDPSRC = NETFACTINC + NETAXES + VDEP, GDP from the sources side
REG,GDPSOURCE,Value
Africa,fact,872507.5625
Asia,fact,9946095
Europe,fact,10245508
N_America,fact,10012513
Oceania,fact,583898.3125
S_America,fact,1903135.625
ROW,fact,65.539146423
Africa,tax,287512.03125
Asia,tax,2469383
Europe,tax,7645756
N_America,tax,4986366
Oceania,tax,335458
S_America,tax,613534.1875
ROW,tax,44.137561798
Africa,depr,168588.07813
Asia,depr,1572468.25
Europe,depr,2259407.75
N_America,depr,1520745.25
Oceania,depr,107701.0625
S_America,depr,300641.40625
ROW,depr,12.889121056
!Header: AG03, dimensions: ENDW_COMM*PROD_COMM*REG [5*7*7], description: Sources of factor income (NETFACTINC + VDEP) by sector - EVFA(j,r)
ENDW_COMM,PROD_COMM,REG,Value
Land,pdr,Africa,1060.0726318
UnSkLab,pdr,Africa,5924.4916992
SkLab,pdr,Africa,55.073425293
Capital,pdr,Africa,1813.9605713
Land,wht,Africa,684.75769043
UnSkLab,wht,Africa,3494.8215332
SkLab,wht,Africa,38.778347015
Capital,wht,Africa,1806.9246826
Land,gro,Africa,3065.5219727
UnSkLab,gro,Africa,16698.820313
SkLab,gro,Africa,143.69902039
Capital,gro,Africa,5067.15625
Land,osd,Africa,1280.8261719
UnSkLab,osd,Africa,7185.5263672
SkLab,osd,Africa,61.768230438
Capital,osd,Africa,2009.8713379
Land,others,Africa,10697.356445
UnSkLab,others,Africa,58102.78125
SkLab,others,Africa,539.57208252
Capital,others,Africa,19445.929688
Land,Intermediate,Africa,2586.126709
UnSkLab,Intermediate,Africa,322752.21875
SkLab,Intermediate,Africa,151329.0625
Capital,Intermediate,Africa,529439.5625
NatRes,Intermediate,Africa,78504.929688
Land,pdr,Asia,30240.474609
UnSkLab,pdr,Asia,38359.199219
SkLab,pdr,Asia,300.39367676
Capital,pdr,Asia,11430.626953
Land,wht,Asia,7091.9643555
UnSkLab,wht,Asia,10579.166992
SkLab,wht,Asia,85.142028809
Capital,wht,Asia,3766.5136719
Land,gro,Asia,7964.6791992
UnSkLab,gro,Asia,11791.006836
SkLab,gro,Asia,97.298461914
Capital,gro,Asia,3416.9338379
Land,osd,Asia,15212.803711
UnSkLab,osd,Asia,16880.511719
SkLab,osd,Asia,105.4609375
Capital,osd,Asia,4641.1699219
Land,others,Asia,132511.46875
UnSkLab,others,Asia,193171.45313
SkLab,others,Asia,1497.9853516
Capital,others,Asia,57906.78125
Land,Intermediate,Asia,77215.726563
UnSkLab,Intermediate,Asia,4073429
SkLab,Intermediate,Asia,1993611
Capital,Intermediate,Asia,5793636.5
NatRes,Intermediate,Asia,295657.75
Land,pdr,Europe,260.26641846
UnSkLab,pdr,Europe,960.64508057
SkLab,pdr,Europe,52.970733643
Capital,pdr,Europe,283.5246582
Land,wht,Europe,6230.8803711
UnSkLab,wht,Europe,18703.914063
SkLab,wht,Europe,825.82745361
Capital,wht,Europe,5828.9716797
Land,gro,Europe,7864.7924805
UnSkLab,gro,Europe,21750.333984
SkLab,gro,Europe,900.91125488
Capital,gro,Europe,6238.3491211
Land,osd,Europe,2745.1503906
UnSkLab,osd,Europe,9577.5253906
SkLab,osd,Europe,535.02783203
Capital,osd,Europe,2977.2790527
Land,others,Europe,30458.900391
UnSkLab,others,Europe,112837.59375
SkLab,others,Europe,5862.6796875
Capital,others,Europe,38282.113281
Land,Intermediate,Europe,20440.449219
UnSkLab,Intermediate,Europe,5573991
SkLab,Intermediate,Europe,3984059.25
Capital,Intermediate,Europe,7484163.5
NatRes,Intermediate,Europe,132048.0625
Land,pdr,N_America,347.18728638
UnSkLab,pdr,N_America,444.72113037
SkLab,pdr,N_America,32.357227325
Capital,pdr,N_America,416.76339722
Land,wht,N_America,2188.0905762
UnSkLab,wht,N_America,3218.6523438
SkLab,wht,N_America,244.91168213
Capital,wht,N_America,3198.138916
Land,gro,N_America,8282.7910156
UnSkLab,gro,N_America,11142.829102
SkLab,gro,N_America,738.78692627
Capital,gro,N_America,9984.4082031
Land,osd,N_America,4135.1640625
UnSkLab,osd,N_America,5554.7954102
SkLab,osd,N_America,426.96615601
Capital,osd,N_America,5448.6748047
Land,others,N_America,19583.210938
UnSkLab,others,N_America,27128.568359
SkLab,others,N_America,1608.6329346
Capital,others,N_America,22946.796875
Land,Intermediate,N_America,9771.1464844
UnSkLab,Intermediate,N_America,5928700.5
SkLab,Intermediate,N_America,4540554
Capital,Intermediate,N_America,4631330.5
NatRes,Intermediate,N_America,87940.226563
Land,pdr,Oceania,10.654424667
UnSkLab,pdr,Oceania,24.394584656
SkLab,pdr,Oceania,1.3325684071
Capital,pdr,Oceania,14.079474449
Land,wht,Oceania,333.55670166
UnSkLab,wht,Oceania,765.769104
SkLab,wht,Oceania,41.326972961
Capital,wht,Oceania,437.46829224
Land,gro,Oceania,312.79696655
UnSkLab,gro,Oceania,727.31646729
SkLab,gro,Oceania,38.799079895
Capital,gro,Oceania,411.40234375
Land,osd,Oceania,216.2197113
UnSkLab,osd,Oceania,469.47940063
SkLab,osd,Oceania,25.151264191
Capital,osd,Oceania,266.7487793
Land,others,Oceania,1670.274292
UnSkLab,others,Oceania,4008.3037109
SkLab,others,Oceania,195.7925415
Capital,others,Oceania,2105.7890625
Land,Intermediate,Oceania,3233.1181641
UnSkLab,Intermediate,Oceania,317211.53125
SkLab,Intermediate,Oceania,223712.39063
Capital,Intermediate,Oceania,321993.875
NatRes,Intermediate,Oceania,13891.783203
Land,pdr,S_America,1112.1259766
UnSkLab,pdr,S_America,1786.0452881
SkLab,pdr,S_America,37.606010437
Capital,pdr,S_America,1794.03479
Land,wht,S_America,1141.1325684
UnSkLab,wht,S_America,1866.0648193
SkLab,wht,S_America,42.31413269
Capital,wht,S_America,1234.885498
Land,gro,S_America,2727.2282715
UnSkLab,gro,S_America,4346.1357422
SkLab,gro,S_America,103.35838318
Capital,gro,S_America,4620.015625
Land,osd,S_America,4031.3100586
UnSkLab,osd,S_America,6337.9580078
SkLab,osd,S_America,174.63169861
Capital,osd,S_America,7738.862793
Land,others,S_America,15386.611328
UnSkLab,others,S_America,24668.326172
SkLab,others,S_America,521.41156006
Capital,others,S_America,25230.662109
Land,Intermediate,S_America,10466.273438
UnSkLab,Intermediate,S_America,865049.9375
SkLab,Intermediate,S_America,438516.84375
Capital,Intermediate,S_America,1074677.625
NatRes,Intermediate,S_America,46396.734375
Land,pdr,ROW,8.21394205559045E-0004
UnSkLab,pdr,ROW,3.03883734159172E-0003
SkLab,pdr,ROW,9.97932147583924E-0005
Capital,pdr,ROW,1.25428754836320E-0003
Land,wht,ROW,8.13398323953152E-0003
UnSkLab,wht,ROW,0.030083650723
SkLab,wht,ROW,9.88217536360025E-0004
Capital,wht,ROW,0.0124207763
Land,gro,ROW,9.70511138439178E-0003
UnSkLab,gro,ROW,0.035894297063
SkLab,gro,ROW,1.17909791879355E-0003
Capital,gro,ROW,0.01481992472
Land,osd,ROW,0.014931138605
UnSkLab,osd,ROW,0.055222194642
SkLab,osd,ROW,1.81402103044093E-0003
Capital,osd,ROW,0.022800186649
Land,others,ROW,0.11526782811
UnSkLab,others,ROW,0.42630961537
SkLab,others,ROW,0.01400417462
Capital,others,ROW,0.17601659894
Land,Intermediate,ROW,0.20690728724
UnSkLab,Intermediate,ROW,32.239841461
SkLab,Intermediate,ROW,18.299417496
Capital,Intermediate,ROW,49.626354218
NatRes,Intermediate,ROW,1.7263948917
!Header: AG04, dimensions: REG*CAPACCT [7*2], description: S - I = X - M: CAPITALACCT
REG,CAPACCT,Value
Africa,save,165690.40625
Asia,save,3242540.75
Europe,save,2111615.5
N_America,save,917141.9375
Oceania,save,158637.6875
S_America,save,307321.9375
ROW,save,18.03736496
Africa,inv,-126264.89063
Asia,inv,-2493908
Europe,inv,-2148758.25
N_America,inv,-1715556.5
Oceania,inv,-163892.96875
S_America,inv,-254561.03125
ROW,inv,-18.334468842
!Header: AG05, dimensions: REG*CURACCT*TRAD_COMM [7*2*6], description: X - M = S - I: CURRENTACCT
REG,CURACCT,TRAD_COMM,Value
Africa,export,pdr,82.344558716
Asia,export,pdr,609.20904541
Europe,export,pdr,186.38595581
N_America,export,pdr,508.13955688
Oceania,export,pdr,14.058779716
S_America,export,pdr,171.94866943
ROW,export,pdr,7.78406276367605E-0004
Africa,imp,pdr,-73.81111908
Asia,imp,pdr,-373.50836182
Europe,imp,pdr,-648.85742188
N_America,imp,pdr,-290.41534424
Oceania,imp,pdr,-20.199440002
S_America,imp,pdr,-340.7897644
ROW,imp,pdr,-1.06956332456320E-0003
Africa,export,wht,158.35401917
Asia,export,wht,2083.1384277
Europe,export,wht,12048.396484
N_America,export,wht,12512.011719
Oceania,export,wht,872.49993896
S_America,export,wht,2147.5087891
ROW,export,wht,0.05160234496
Africa,imp,wht,-8255.6015625
Asia,imp,wht,-9738.0400391
Europe,imp,wht,-8856.7021484
N_America,imp,wht,-1439.9645996
Oceania,imp,wht,-65.149383545
S_America,imp,wht,-3785.2834473
ROW,imp,wht,-0.055974334478
Africa,export,gro,576.55871582
Asia,export,gro,1707.1268311
Europe,export,gro,8469.5390625
N_America,export,gro,12518.678711
Oceania,export,gro,372.17507935
S_America,export,gro,5544.5996094
ROW,export,gro,0.050388194621
Africa,imp,gro,-3107.1333008
Asia,imp,gro,-12124.549805
Europe,imp,gro,-9956.5898438
N_America,imp,gro,-3368.9360352
Oceania,imp,gro,-31.693012238
S_America,imp,gro,-3095.3884277
ROW,imp,gro,-0.055361542851
Africa,export,osd,667.418396
Asia,export,osd,1600.6889648
Europe,export,osd,4587.7124023
N_America,export,osd,12886.867188
Oceania,export,osd,179.44285583
S_America,export,osd,12170.421875
ROW,export,osd,0.058347728103
Africa,imp,osd,-978.90869141
Asia,imp,osd,-21417.693359
Europe,imp,osd,-10870.677734
N_America,imp,osd,-3061.9230957
Oceania,imp,osd,-87.868240356
S_America,imp,osd,-1280.6466064
ROW,imp,osd,-0.068812936544
Africa,export,others,16209.504883
Asia,export,others,30620.884766
Europe,export,others,54224.214844
N_America,export,others,25370.980469
Oceania,export,others,3142.5290527
S_America,export,others,25244.289063
ROW,export,others,0.31454923749
Africa,imp,others,-4834.4511719
Asia,imp,others,-40541.992188
Europe,imp,others,-92909.257813
N_America,imp,others,-31418.488281
Oceania,imp,others,-1299.4707031
S_America,imp,others,-4529.4272461
ROW,imp,others,-0.36094355583
Africa,export,Intermediate,476336.28125
Asia,export,Intermediate,4961254
Europe,export,Intermediate,6865789
N_America,export,Intermediate,2028830.375
Oceania,export,Intermediate,211099.73438
S_America,export,Intermediate,530229.25
ROW,export,Intermediate,34.095542908
Africa,imp,Intermediate,-437355.8125
Asia,imp,Intermediate,-4165049.25
Europe,imp,Intermediate,-6859207.5
N_America,imp,Intermediate,-2851463.5
Oceania,imp,Intermediate,-219431.51563
S_America,imp,Intermediate,-509715.5625
ROW,imp,Intermediate,-34.326145172
!Header: AG06, dimensions: REG [7], description: Capital stock by region - VKB
REG,Value
Africa,4214702
Asia,39311708
Europe,56485196
N_America,38018632
Oceania,2692526.5
S_America,7516035
ROW,322.22802734
!Header: BI01, dimensions: TRAD_COMM*REG*REG*EXPVALUE [6*7*7*2], description: Decomposition of exports at world prices: VXWD=VXMD+XTAX
TRAD_COMM,REG,REG,EXPVALUE,Value
pdr,Africa,Africa,exprev,26.139080048
wht,Africa,Africa,exprev,76.114021301
gro,Africa,Africa,exprev,334.8772583
osd,Africa,Africa,exprev,127.24259186
others,Africa,Africa,exprev,1680.8151855
Intermediate,Africa,Africa,exprev,44989.226563
pdr,Asia,Africa,exprev,18.466222763
wht,Asia,Africa,exprev,304.49380493
gro,Asia,Africa,exprev,26.169868469
osd,Asia,Africa,exprev,53.752788544
others,Asia,Africa,exprev,890.02355957
Intermediate,Asia,Africa,exprev,125634.8125
pdr,Europe,Africa,exprev,2.1722350121
wht,Europe,Africa,exprev,3594.6035156
gro,Europe,Africa,exprev,386.96337891
osd,Europe,Africa,exprev,37.696289063
others,Europe,Africa,exprev,1181.184082
Intermediate,Europe,Africa,exprev,184989.40625
pdr,N_America,Africa,exprev,17.459327698
wht,N_America,Africa,exprev,3196.7949219
gro,N_America,Africa,exprev,1258.536499
osd,N_America,Africa,exprev,289.97775269
others,N_America,Africa,exprev,323.24417114
Intermediate,N_America,Africa,exprev,37216.351563
pdr,Oceania,Africa,exprev,0.15663816035
wht,Oceania,Africa,exprev,1.1115605831
gro,Oceania,Africa,exprev,14.69587326
osd,Oceania,Africa,exprev,1.9860012531
others,Oceania,Africa,exprev,49.517227173
Intermediate,Oceania,Africa,exprev,4390.2358398
pdr,S_America,Africa,exprev,1.217243433
wht,S_America,Africa,exprev,444.88766479
gro,S_America,Africa,exprev,807.41308594
osd,S_America,Africa,exprev,280.85083008
others,S_America,Africa,exprev,255.85984802
Intermediate,S_America,Africa,exprev,14928.625
pdr,ROW,Africa,exprev,2.59498289523208E-0009
wht,ROW,Africa,exprev,4.10659822591697E-0007
gro,ROW,Africa,exprev,8.23444679554086E-0007
osd,ROW,Africa,exprev,6.55270895322246E-0008
others,ROW,Africa,exprev,2.06501316279173E-0003
Intermediate,ROW,Africa,exprev,0.62779182196
pdr,Africa,Asia,exprev,30.214017868
wht,Africa,Asia,exprev,21.483718872
gro,Africa,Asia,exprev,67.915214539
osd,Africa,Asia,exprev,349.75585938
others,Africa,Asia,exprev,3811.4868164
Intermediate,Africa,Asia,exprev,104048.57031
pdr,Asia,Asia,exprev,229.87315369
wht,Asia,Asia,exprev,1346.9108887
gro,Asia,Asia,exprev,1585.0865479
osd,Asia,Asia,exprev,884.58349609
others,Asia,Asia,exprev,17171.626953
Intermediate,Asia,Asia,exprev,2285723.75
pdr,Europe,Asia,exprev,1.0118408203
wht,Europe,Asia,exprev,1805.6673584
gro,Europe,Asia,exprev,1883.506958
osd,Europe,Asia,exprev,404.22164917
others,Europe,Asia,exprev,2115.203125
Intermediate,Europe,Asia,exprev,856979.75
pdr,N_America,Asia,exprev,64.86190033
wht,N_America,Asia,exprev,4726.3774414
gro,N_America,Asia,exprev,5797.9755859
osd,N_America,Asia,exprev,8305.4804688
others,N_America,Asia,exprev,7809.6430664
Intermediate,N_America,Asia,exprev,465835.09375
pdr,Oceania,Asia,exprev,4.2670760155
wht,Oceania,Asia,exprev,824.35565186
gro,Oceania,Asia,exprev,345.74438477
osd,Oceania,Asia,exprev,153.80175781
others,Oceania,Asia,exprev,1864.2110596
Intermediate,Oceania,Asia,exprev,124308.96094
pdr,S_America,Asia,exprev,1.0074887276
wht,S_America,Asia,exprev,257.39819336
gro,S_America,Asia,exprev,1394.5953369
osd,S_America,Asia,exprev,7699.0927734
others,S_America,Asia,exprev,2744.5268555
Intermediate,S_America,Asia,exprev,110466.09375
pdr,ROW,Asia,exprev,2.73210289947201E-0008
wht,ROW,Asia,exprev,0.01227536425
gro,ROW,Asia,exprev,0.011986754835
osd,ROW,Asia,exprev,0.013768025674
others,ROW,Asia,exprev,0.075406432152
Intermediate,ROW,Asia,exprev,8.0060482025
pdr,Africa,Europe,exprev,20.036987305
wht,Africa,Europe,exprev,43.032802582
gro,Africa,Europe,exprev,115.54814148
osd,Africa,Europe,exprev,148.36601257
others,Africa,Europe,exprev,9485.1933594
Intermediate,Africa,Europe,exprev,191583.85938
pdr,Asia,Europe,exprev,316.16937256
wht,Asia,Europe,exprev,423.97644043
gro,Asia,Europe,exprev,62.681648254
osd,Asia,Europe,exprev,478.40661621
others,Asia,Europe,exprev,8936.5537109
Intermediate,Asia,Europe,exprev,1113512.5
pdr,Europe,Europe,exprev,181.03578186
wht,Europe,Europe,exprev,6629.6669922
gro,Europe,Europe,exprev,6176.8017578
osd,Europe,Europe,exprev,4098.4013672
others,Europe,Europe,exprev,48977.542969
Intermediate,Europe,Europe,exprev,4682165
pdr,N_America,Europe,exprev,6.3486070633
wht,N_America,Europe,exprev,1234.1107178
gro,N_America,Europe,exprev,748.17144775
osd,N_America,Europe,exprev,1733.5349121
others,N_America,Europe,exprev,4531.0649414
Intermediate,N_America,Europe,exprev,463246.34375
pdr,Oceania,Europe,exprev,0.07310128957
wht,Oceania,Europe,exprev,4.8603239059
gro,Oceania,Europe,exprev,2.3131999969
osd,Oceania,Europe,exprev,9.2704725266
others,Oceania,Europe,exprev,636.82275391
Intermediate,Oceania,Europe,exprev,38403.015625
pdr,S_America,Europe,exprev,65.451522827
wht,S_America,Europe,exprev,14.491411209
gro,S_America,Europe,exprev,2239.3562012
osd,S_America,Europe,exprev,3300.0600586
others,S_America,Europe,exprev,11837.051758
Intermediate,S_America,Europe,exprev,129551.23438
pdr,ROW,Europe,exprev,3.93579391300136E-0008
wht,ROW,Europe,exprev,0.016756132245
gro,ROW,Europe,exprev,0.016362510622
osd,ROW,Europe,exprev,0.020190140232
others,ROW,Europe,exprev,0.11371188611
Intermediate,ROW,Europe,exprev,12.008123398
pdr,Africa,N_America,exprev,4.5017800331
wht,Africa,N_America,exprev,13.372375488
gro,Africa,N_America,exprev,43.444393158
osd,Africa,N_America,exprev,34.561981201
others,Africa,N_America,exprev,1027.2999268
Intermediate,Africa,N_America,exprev,107234.35938
pdr,Asia,N_America,exprev,34.905189514
wht,Asia,N_America,exprev,5.481089592
gro,Asia,N_America,exprev,26.430482864
osd,Asia,N_America,exprev,135.48310852
others,Asia,N_America,exprev,2794.9499512
Intermediate,Asia,N_America,exprev,948717.625
pdr,Europe,N_America,exprev,1.0028787851
wht,Europe,N_America,exprev,11.769672394
gro,Europe,N_America,exprev,13.10125351
osd,Europe,N_America,exprev,38.187271118
others,Europe,N_America,exprev,1544.5975342
Intermediate,Europe,N_America,exprev,621293.375
pdr,N_America,N_America,exprev,218.17852783
wht,N_America,N_America,exprev,1295.6016846
gro,N_America,N_America,exprev,2775.8461914
osd,N_America,N_America,exprev,2278.987793
others,N_America,N_America,exprev,11281.085938
Intermediate,N_America,N_America,exprev,864087
pdr,Oceania,N_America,exprev,0.62193775177
wht,Oceania,N_America,exprev,0.21427860856
gro,Oceania,N_America,exprev,0.85947984457
osd,Oceania,N_America,exprev,6.2519235611
others,Oceania,N_America,exprev,311.86999512
Intermediate,Oceania,N_America,exprev,21517.056641
pdr,S_America,N_America,exprev,3.2635543346
wht,S_America,N_America,exprev,4.5519194603
gro,S_America,N_America,exprev,244.01182556
osd,S_America,N_America,exprev,112.33136749
others,S_America,N_America,exprev,8482.4433594
Intermediate,S_America,N_America,exprev,148416.65625
pdr,ROW,N_America,exprev,7.77329492848366E-0004
wht,ROW,N_America,exprev,0.020169002935
gro,ROW,N_America,exprev,0.019692750648
osd,ROW,N_America,exprev,0.021795069799
others,ROW,N_America,exprev,0.10728415847
Intermediate,ROW,N_America,exprev,9.8571443558
pdr,Africa,Oceania,exprev,0.60401767492
wht,Africa,Oceania,exprev,1.8619765043
gro,Africa,Oceania,exprev,3.731695652
osd,Africa,Oceania,exprev,1.5274918079
others,Africa,Oceania,exprev,58.899742126
Intermediate,Africa,Oceania,exprev,3204.7370605
pdr,Asia,Oceania,exprev,7.7179598808
wht,Asia,Oceania,exprev,1.2470368147
gro,Asia,Oceania,exprev,2.8407957554
osd,Asia,Oceania,exprev,35.108959198
others,Asia,Oceania,exprev,341.83764648
Intermediate,Asia,Oceania,exprev,96246.648438
