!Header: VOA , dimensions: NSAV_COMM*REG [12*7], description: Value of commodity i output in region r
NSAV_COMM,REG,Value
Land,Africa,17632.605469
UnSkLab,Africa,340603.625
SkLab,Africa,123133.85156
Capital,Africa,492425.4375
NatRes,Africa,67300.101563
pdr,Africa,10641.638672
wht,Africa,12587.274414
gro,Africa,33068.042969
osd,Africa,13740.019531
others,Africa,121210.13281
Intermediate,Africa,2257413.25
CGDS,Africa,294852.96875
Land,Asia,309975.15625
UnSkLab,Asia,3742196.5
SkLab,Asia,1636626.5
Capital,Asia,5547954.5
NatRes,Asia,281810.96875
pdr,Asia,115090.01563
wht,Asia,48824.589844
gro,Asia,39254.109375
osd,Asia,51668.871094
others,Asia,504292.40625
Intermediate,Asia,29998188
CGDS,Asia,4066376.25
Land,Europe,91093.429688
UnSkLab,Europe,3194727.25
SkLab,Europe,2189097.5
Capital,Europe,6909407
NatRes,Europe,120590.67188
pdr,Europe,2238.4230957
wht,Europe,56257.285156
gro,Europe,58165.394531
osd,Europe,26216.257813
others,Europe,283127.5625
Intermediate,Europe,36933568
CGDS,Europe,4408166
Land,N_America,42947
UnSkLab,N_America,4120335.75
SkLab,N_America,3121799.25
Capital,N_America,4169989
NatRes,N_America,78187.148438
pdr,N_America,2352.6486816
wht,N_America,17489.535156
gro,N_America,62782.984375
osd,N_America,29985.263672
others,N_America,115259.96875
Intermediate,N_America,28518482
CGDS,N_America,3236301.75
Land,Oceania,5044.3134766
UnSkLab,Oceania,236036.60938
SkLab,Oceania,163692.8125
Capital,Oceania,275153.25
NatRes,Oceania,11672.347656
pdr,Oceania,58.640232086
wht,Oceania,4220.3339844
gro,Oceania,2854.0725098
osd,Oceania,1439.8818359
others,Oceania,13229.101563
Intermediate,Oceania,1928209.75
CGDS,Oceania,271594.03125
Land,S_America,31901.880859
UnSkLab,S_America,752306.75
SkLab,S_America,363590.40625
Capital,S_America,1013615.375
NatRes,S_America,42362.554688
pdr,S_America,8098.2333984
wht,S_America,7737.7587891
gro,S_America,21326.507813
osd,S_America,30601.826172
others,S_America,105790.85938
Intermediate,S_America,4716243
CGDS,S_America,555202.4375
Land,ROW,0.32581031322
UnSkLab,ROW,19.803087234
SkLab,ROW,11.06247139
Capital,ROW,45.65586853
NatRes,ROW,1.5810284615
pdr,ROW,0.013222843409
wht,ROW,0.11048489809
gro,ROW,0.14362439513
osd,ROW,0.18490254879
others,ROW,1.5790960789
Intermediate,ROW,232.65492249
CGDS,ROW,31.223588943
!Header: VOM , dimensions: NSAV_COMM*REG [12*7], description: Value of commodity i output in region r at market prices
NSAV_COMM,REG,Value
Land,Africa,19101.998047
UnSkLab,Africa,396669.125
SkLab,Africa,144805.3125
Capital,Africa,552970.625
NatRes,Africa,77493.46875
pdr,Africa,10638.838867
wht,Africa,12795.06543
gro,Africa,33024.125
osd,Africa,13694.041992
others,Africa,121722.65625
Intermediate,Africa,2287391
CGDS,Africa,294852.96875
Land,Asia,320915.375
UnSkLab,Asia,4048580.75
SkLab,Asia,1799530.375
Capital,Asia,5852793
NatRes,Asia,292900.21875
pdr,Asia,113798.79688
wht,Asia,43940.128906
gro,Asia,39062.125
osd,Asia,51323.433594
others,Asia,497763.875
Intermediate,Asia,30369276
CGDS,Asia,4066376.25
Land,Europe,97261.1875
UnSkLab,Europe,4274655
SkLab,Europe,2942694
Capital,Europe,7419059.5
NatRes,Europe,129311.90625
pdr,Europe,2226.6179199
wht,Europe,56061.15625
gro,Europe,58014.78125
osd,Europe,25962.255859
others,Europe,281544.625
Intermediate,Europe,37805200
CGDS,Europe,4408166
Land,N_America,46821.597656
UnSkLab,N_America,5210678.5
SkLab,N_America,3955608
Capital,N_America,4545446
NatRes,N_America,85150.320313
pdr,N_America,2337.1347656
wht,N_America,17486.720703
gro,N_America,62748.484375
osd,N_America,29969.082031
others,N_America,114917.59375
Intermediate,N_America,29207608
CGDS,N_America,3236301.75
Land,Oceania,5813.3300781
UnSkLab,Oceania,310922.9375
SkLab,Oceania,215144.14063
Capital,Oceania,317456.03125
NatRes,Oceania,13497.421875
pdr,Oceania,57.92779541
wht,Oceania,4220.2211914
