!Header: AG01, dimensions: REG*GDPEXPEND [7*5], description: GDPEXP = C + I + G + X - M, GDP from the expenditure side
REG,GDPEXPEND,Value
Land,Intermediate,Oceania,1528.6945801
UnskLab,Intermediate,Oceania,127044.125
SkLab,Intermediate,Oceania,89056.867188
Capital,Intermediate,Oceania,142653.40625
NatlRes,Intermediate,Oceania,5208.1479492
Land,pdr,S_America,1141.2296143
UnskLab,pdr,S_America,1798.3806152
SkLab,pdr,S_America,39.70904541
Capital,pdr,S_America,2259.6884766
Land,wht,S_America,1184.1737061
UnskLab,wht,S_America,1891.8226318
SkLab,wht,S_America,48.476531982
Capital,wht,S_America,1816.0318604
Land,gro,S_America,1670.4916992
UnskLab,gro,S_America,2662.4814453
SkLab,gro,S_America,65.314346313
Capital,gro,S_America,2711.4101563
Land,others,S_America,14715.126953
UnskLab,others,S_America,23239.453125
SkLab,others,S_America,551.56347656
Capital,others,S_America,27688.53125
Land,osd,S_America,2218.6796875
UnskLab,osd,S_America,3533.548584
SkLab,osd,S_America,97.416030884
Capital,osd,S_America,3472.9284668
Land,Intermediate,S_America,8809.1367188
UnskLab,Intermediate,S_America,359218.375
SkLab,Intermediate,S_America,164620.67188
Capital,Intermediate,S_America,612672.8125
NatlRes,Intermediate,S_America,14068.384766
Land,pdr,ROW,935.41564941
UnskLab,pdr,ROW,926.06152344
SkLab,pdr,ROW,9.3541564941
Capital,pdr,ROW,467.70782471
Land,wht,ROW,269.74963379
UnskLab,wht,ROW,267.05215454
SkLab,wht,ROW,2.6974961758
Capital,wht,ROW,134.87481689
Land,gro,ROW,542.11767578
UnskLab,gro,ROW,536.6965332
SkLab,gro,ROW,5.4211764336
Capital,gro,ROW,271.05883789
Land,others,ROW,5848.4746094
UnskLab,others,ROW,5789.9897461
SkLab,others,ROW,58.484745026
Capital,others,ROW,2924.2373047
Land,osd,ROW,584.40960693
UnskLab,osd,ROW,578.56542969
SkLab,osd,ROW,5.8440952301
Capital,osd,ROW,292.20480347
Land,Intermediate,ROW,4141.2807617
UnskLab,Intermediate,ROW,72430.609375
SkLab,Intermediate,ROW,27709.970703
Capital,Intermediate,ROW,101562.4375
NatlRes,Intermediate,ROW,3425.5617676
!Header: AG04, dimensions: REG*CAPACCT [7*2], description: S - I = X - M: CAPITALACCT
REG,CAPACCT,Value
Africa,save,15628.469727
Asia,save,1368038.875
Europe,save,747585
N_America,save,537568.5625
Oceania,save,32306.625
S_America,save,92010.234375
ROW,save,901.52282715
Africa,inv,-25654.019531
Asia,inv,-1294034.75
Europe,inv,-680264.1875
N_America,inv,-627977.625
Oceania,inv,-37193.640625
S_America,inv,-113791.15625
ROW,inv,-15124.90625
!Header: AG05, dimensions: REG*CURACCT*TRAD_COMM [7*2*6], description: X - M = S - I: CURRENTACCT
REG,CURACCT,TRAD_COMM,Value
Africa,exp,pdr,8.9260053635
Asia,exp,pdr,205.3860321
Europe,exp,pdr,90.794006348
N_America,exp,pdr,251.31399536
Oceania,exp,pdr,6.9800014496
S_America,exp,pdr,31.322008133
ROW,exp,pdr,5.4680008888
Africa,imp,pdr,-56.881004333
Asia,imp,pdr,-116.2700119
Europe,imp,pdr,-289.24099731
N_America,imp,pdr,-86.291000366
Oceania,imp,pdr,-0.36600196362
S_America,imp,pdr,-105.33799744
ROW,imp,pdr,-7.79500103
Africa,exp,wht,5.2870049477
Asia,exp,wht,310.5680542
Europe,exp,wht,5968.8925781
N_America,exp,wht,8607.3320313
Oceania,exp,wht,1250.4299316
S_America,exp,wht,1063.7490234
ROW,exp,wht,40.585002899
Africa,imp,wht,-3317.3505859
Asia,imp,wht,-6795.2758789
Europe,imp,wht,-5137.5151367
N_America,imp,wht,-476.29299927
Oceania,imp,wht,-33.625003815
S_America,imp,wht,-2146.9509277
ROW,imp,wht,-81.025001526
Africa,exp,gro,338.18997192
Asia,exp,gro,234.69200134
