!Header: AG01, dimensions: REG*GDPEXPEND [7*5], description: GDPEXP = C + I + G + X - M, GDP from the expenditure side
REG,GDPEXPEND,Value
pdr,Europe,Asia,mtax,3.2724957466
wht,Europe,Asia,mtax,216.09173584
gro,Europe,Asia,mtax,225.29882813
osd,Europe,Asia,mtax,31.528564453
others,Europe,Asia,mtax,611.98242188
Intermediate,Europe,Asia,mtax,30787.8125
pdr,N_America,Asia,mtax,153.35769653
wht,N_America,Asia,mtax,4115.4702148
gro,N_America,Asia,mtax,2553.1987305
osd,N_America,Asia,mtax,3247.0444336
others,N_America,Asia,mtax,1544.8994141
Intermediate,N_America,Asia,mtax,16901.375
pdr,Oceania,Asia,mtax,94.319892883
wht,Oceania,Asia,mtax,872.40466309
gro,Oceania,Asia,mtax,249.28677368
osd,Oceania,Asia,mtax,121.49334717
others,Oceania,Asia,mtax,352.89343262
Intermediate,Oceania,Asia,mtax,5103.2148438
pdr,S_America,Asia,mtax,8.0070180893
wht,S_America,Asia,mtax,189.49172974
gro,S_America,Asia,mtax,480.24981689
osd,S_America,Asia,mtax,578.73974609
others,S_America,Asia,mtax,610.13964844
Intermediate,S_America,Asia,mtax,3593.703125
pdr,ROW,Asia,mtax,1.8554012775
wht,ROW,Asia,mtax,1.3366322517
gro,ROW,Asia,mtax,0.38968324661
osd,ROW,Asia,mtax,31.528785706
others,ROW,Asia,mtax,126.49282837
Intermediate,ROW,Asia,mtax,321.89111328
pdr,Africa,Europe,mtax,3.923312664
wht,Africa,Europe,mtax,17.259992599
gro,Africa,Europe,mtax,13.078456879
osd,Africa,Europe,mtax,2.0993728638
others,Africa,Europe,mtax,621.47021484
Intermediate,Africa,Europe,mtax,2970.65625
pdr,Asia,Europe,mtax,153.24954224
wht,Asia,Europe,mtax,37.612976074
gro,Asia,Europe,mtax,20.998443604
osd,Asia,Europe,mtax,16.481262207
others,Asia,Europe,mtax,522.90771484
Intermediate,Asia,Europe,mtax,19178.25
pdr,Europe,Europe,mtax,3.5384521484
wht,Europe,Europe,mtax,210.09814453
gro,Europe,Europe,mtax,172.00317383
osd,Europe,Europe,mtax,64.850219727
others,Europe,Europe,mtax,1586.0605469
Intermediate,Europe,Europe,mtax,30778
pdr,N_America,Europe,mtax,56.719665527
wht,N_America,Europe,mtax,387.69610596
gro,N_America,Europe,mtax,206.89093018
osd,N_America,Europe,mtax,77.536376953
others,N_America,Europe,mtax,441.48339844
Intermediate,N_America,Europe,mtax,8166.46875
pdr,Oceania,Europe,mtax,3.183467865
wht,Oceania,Europe,mtax,41.091567993
gro,Oceania,Europe,mtax,1.8540301323
osd,Oceania,Europe,mtax,0.079270362854
others,Oceania,Europe,mtax,46.294158936
Intermediate,Oceania,Europe,mtax,1681.9433594
pdr,S_America,Europe,mtax,29.9295578
wht,S_America,Europe,mtax,34.813735962
gro,S_America,Europe,mtax,98.607879639
osd,S_America,Europe,mtax,61.757568359
others,S_America,Europe,mtax,861.08300781
Intermediate,S_America,Europe,mtax,3649.9960938
pdr,ROW,Europe,mtax,0.79770100117
wht,ROW,Europe,mtax,2.9850301743
gro,ROW,Europe,mtax,3.1706638336
osd,ROW,Europe,mtax,0.16230010986
others,ROW,Europe,mtax,18.772644043
Intermediate,ROW,Europe,mtax,762.48925781
pdr,Africa,N_America,mtax,0.028254151344
wht,Africa,N_America,mtax,1.6779327393
gro,Africa,N_America,mtax,0.38453865051
osd,Africa,N_America,mtax,1.3777275085
others,Africa,N_America,mtax,124.0189209
Intermediate,Africa,N_America,mtax,386.17382813
pdr,Asia,N_America,mtax,1.7663078308
wht,Asia,N_America,mtax,1.0773072243
gro,Asia,N_America,mtax,0.34249687195
osd,Asia,N_America,mtax,4.2564105988
others,Asia,N_America,mtax,282.20092773
Intermediate,Asia,N_America,mtax,15898.625
pdr,Europe,N_America,mtax,0.053791165352
wht,Europe,N_America,mtax,0.13088262081
gro,Europe,N_America,mtax,0.43045043945
osd,Europe,N_America,mtax,3.1425628662
others,Europe,N_America,mtax,196.52270508
Intermediate,Europe,N_America,mtax,8102.8125
pdr,N_America,N_America,mtax,12.284820557
wht,N_America,N_America,mtax,223.15930176
gro,N_America,N_America,mtax,285.81396484
osd,N_America,N_America,mtax,80.294067383
others,N_America,N_America,mtax,429.49267578
Intermediate,N_America,N_America,mtax,2537.03125
wht,Oceania,N_America,mtax,0.033020362258
gro,Oceania,N_America,mtax,7.21295177936554E-0003
osd,Oceania,N_America,mtax,1.4059858322
others,Oceania,N_America,mtax,12.826690674
Intermediate,Oceania,N_America,mtax,530.04394531
pdr,S_America,N_America,mtax,0.055405497551
wht,S_America,N_America,mtax,0.15788453817
gro,S_America,N_America,mtax,0.98375701904
osd,S_America,N_America,mtax,23.856170654
others,S_America,N_America,mtax,862.20849609
Intermediate,S_America,N_America,mtax,3105.1289063
pdr,ROW,N_America,mtax,0.034299612045
wht,ROW,N_America,mtax,0.044868856668
gro,ROW,N_America,mtax,0.013912498951
osd,ROW,N_America,mtax,1.1081647873
others,ROW,N_America,mtax,13.21710968
Intermediate,ROW,N_America,mtax,271.54394531
pdr,Africa,Oceania,mtax,3.61096113920212E-0004
gro,Africa,Oceania,mtax,8.56453180313110E-0003
osd,Africa,Oceania,mtax,2.80226767063141E-0003
others,Africa,Oceania,mtax,0.9814414978
Intermediate,Africa,Oceania,mtax,25.552001953
pdr,Asia,Oceania,mtax,0.020062208176
gro,Asia,Oceania,mtax,9.14382934570313E-0003
osd,Asia,Oceania,mtax,0.057240009308
others,Asia,Oceania,mtax,4.5500488281
Intermediate,Asia,Oceania,mtax,1827.0429688
pdr,Europe,Oceania,mtax,1.02891027927398E-0003
gro,Europe,Oceania,mtax,4.92948293685913E-0003
osd,Europe,Oceania,mtax,2.93159484863281E-0003
others,Europe,Oceania,mtax,2.0269012451
Intermediate,Europe,Oceania,mtax,889.71679688
pdr,N_America,Oceania,mtax,1.07973814010620E-0003
gro,N_America,Oceania,mtax,0.016235232353
osd,N_America,Oceania,mtax,0.41884994507
others,N_America,Oceania,mtax,2.621887207
Intermediate,N_America,Oceania,mtax,547.796875
pdr,S_America,Oceania,mtax,8.02241265773773E-0004
gro,S_America,Oceania,mtax,6.88068568706512E-0004
osd,S_America,Oceania,mtax,0.018642306328
others,S_America,Oceania,mtax,2.1714324951
Intermediate,S_America,Oceania,mtax,30.093017578
pdr,ROW,Oceania,mtax,3.08226794004440E-0004
gro,ROW,Oceania,mtax,2.56735831499100E-0004
osd,ROW,Oceania,mtax,3.35553660988808E-0004
others,ROW,Oceania,mtax,1.4875564575
Intermediate,ROW,Oceania,mtax,60.93157959
pdr,Africa,S_America,mtax,0.022813521326
wht,Africa,S_America,mtax,0.17393493652
gro,Africa,S_America,mtax,5.313785553
osd,Africa,S_America,mtax,0.08596777916
others,Africa,S_America,mtax,18.180755615
Intermediate,Africa,S_America,mtax,187.9934082
pdr,Asia,S_America,mtax,2.4663286209
wht,Asia,S_America,mtax,0.11016225815
gro,Asia,S_America,mtax,0.15913546085
osd,Asia,S_America,mtax,0.21553492546
others,Asia,S_America,mtax,40.335998535
Intermediate,Asia,S_America,mtax,5653.0195313
pdr,Europe,S_America,mtax,0.064740687609
wht,Europe,S_America,mtax,2.1580276489
gro,Europe,S_America,mtax,3.3655662537
osd,Europe,S_America,mtax,0.40360498428
others,Europe,S_America,mtax,29.895721436
Intermediate,Europe,S_America,mtax,6464.9375
pdr,N_America,S_America,mtax,23.412246704
wht,N_America,S_America,mtax,83.483276367
gro,N_America,S_America,mtax,80.123352051
osd,N_America,S_America,mtax,42.505065918
others,N_America,S_America,mtax,115.37536621
Intermediate,N_America,S_America,mtax,8254.578125
wht,Oceania,S_America,mtax,4.7438201904
gro,Oceania,S_America,mtax,0.12398719788
osd,Oceania,S_America,mtax,0.014647565782
others,Oceania,S_America,mtax,2.1419391632
Intermediate,Oceania,S_America,mtax,150.3338623
pdr,S_America,S_America,mtax,21.222686768
wht,S_America,S_America,mtax,65.197875977
gro,S_America,S_America,mtax,50.945068359
osd,S_America,S_America,mtax,25.603485107
others,S_America,S_America,mtax,178.98339844
Intermediate,S_America,S_America,mtax,6492.0234375
pdr,ROW,S_America,mtax,0.029272481799
wht,ROW,S_America,mtax,0.026083111763
gro,ROW,S_America,mtax,0.023926377296
osd,ROW,S_America,mtax,5.88041543960571E-0003
others,ROW,S_America,mtax,0.16028654575
Intermediate,ROW,S_America,mtax,34.866333008
pdr,Africa,ROW,mtax,1.49104744195938E-0005
wht,Africa,ROW,mtax,7.89982080459595E-0003
gro,Africa,ROW,mtax,3.38985025882721E-0003
osd,Africa,ROW,mtax,1.82035565376282E-0003
others,Africa,ROW,mtax,0.038776397705
Intermediate,Africa,ROW,mtax,2.1024169922
pdr,Asia,ROW,mtax,1.07991695404052E-0003
wht,Asia,ROW,mtax,0.016772329807
gro,Asia,ROW,mtax,7.25555419921875E-0003
osd,Asia,ROW,mtax,1.17301940917968E-0003
others,Asia,ROW,mtax,3.4293746948
Intermediate,Asia,ROW,mtax,1176.0068359
pdr,Europe,ROW,mtax,1.00046396255493E-0004
wht,Europe,ROW,mtax,2.6850891113
gro,Europe,ROW,mtax,0.3393573761
osd,Europe,ROW,mtax,0.025317192078
others,Europe,ROW,mtax,10.601654053
Intermediate,Europe,ROW,mtax,646.6953125
pdr,N_America,ROW,mtax,3.81283462047577E-0005
wht,N_America,ROW,mtax,2.2710971832
gro,N_America,ROW,mtax,0.44353103638
others,N_America,ROW,mtax,0.057697296143
Intermediate,N_America,ROW,mtax,105.796875
wht,Oceania,ROW,mtax,6.48312270641327E-0005
gro,Oceania,ROW,mtax,0.6295042038
osd,Oceania,ROW,mtax,8.61870124936104E-0003
others,Oceania,ROW,mtax,7.8740921021
Intermediate,Oceania,ROW,mtax,238.32434082
pdr,S_America,ROW,mtax,2.81818211078644E-0005
wht,S_America,ROW,mtax,1.1792488098
gro,S_America,ROW,mtax,2.02483683824539E-0003
osd,S_America,ROW,mtax,0.40625
others,S_America,ROW,mtax,0.080703735352
Intermediate,S_America,ROW,mtax,12.296020508
pdr,ROW,ROW,mtax,1.64002180099487E-0004
wht,ROW,ROW,mtax,0.15280723572
gro,ROW,ROW,mtax,0.22115325928
others,ROW,ROW,mtax,2.17437744140625E-0004
Intermediate,ROW,ROW,mtax,1.7449951172
!Header: BI03, dimensions: TRAD_COMM*REG*REG*MKTVALUE [6*7*7*2], description: Decomposition of cif values - CIFDECOMP
TRAD_COMM,REG,REG,MKTVALUE,Value
pdr,Africa,Africa,fob,11.450828552
wht,Africa,Africa,fob,17.267999649
gro,Africa,Africa,fob,224.58503723
osd,Africa,Africa,fob,55.02671814
others,Africa,Africa,fob,517.36584473
Intermediate,Africa,Africa,fob,8579.9814453
pdr,Asia,Africa,fob,7.4035811424
wht,Asia,Africa,fob,163.18675232
gro,Asia,Africa,fob,7.056842804
osd,Asia,Africa,fob,35.595256805
others,Asia,Africa,fob,383.53405762
Intermediate,Asia,Africa,fob,39821.972656
pdr,Europe,Africa,fob,0.57768189907
wht,Europe,Africa,fob,701.24719238
gro,Europe,Africa,fob,214.36116028
osd,Europe,Africa,fob,10.877948761
others,Europe,Africa,fob,512.61767578
Intermediate,Europe,Africa,fob,70254.65625
pdr,N_America,Africa,fob,12.478427887
wht,N_America,Africa,fob,1528.0252686
gro,N_America,Africa,fob,485.85327148
osd,N_America,Africa,fob,38.708457947
others,N_America,Africa,fob,112.21875
Intermediate,N_America,Africa,fob,19049.640625
pdr,Oceania,Africa,fob,0.11587937176
wht,Oceania,Africa,fob,329.99334717
gro,Oceania,Africa,fob,0.9956086278
osd,Oceania,Africa,fob,1.2152394056
others,Oceania,Africa,fob,22.322574615
Intermediate,Oceania,Africa,fob,1676.9057617
pdr,S_America,Africa,fob,0.10795426369
wht,S_America,Africa,fob,245.45765686
gro,S_America,Africa,fob,198.94363403
osd,S_America,Africa,fob,55.208000183
others,S_America,Africa,fob,93.503250122
Intermediate,S_America,Africa,fob,3795.4663086
pdr,ROW,Africa,fob,0.047986201942
wht,ROW,Africa,fob,1.4467610121
gro,ROW,Africa,fob,0.31170746684
osd,ROW,Africa,fob,0.034640952945
others,ROW,Africa,fob,5.9852204323
Intermediate,ROW,Africa,fob,336.2897644
pdr,Africa,Asia,fob,1.2065447569
wht,Africa,Asia,fob,19.552473068
gro,Africa,Asia,fob,57.302139282
osd,Africa,Asia,fob,94.303115845
others,Africa,Asia,fob,1749.0682373
Intermediate,Africa,Asia,fob,25035.333984
pdr,Asia,Asia,fob,197.7661438
wht,Asia,Asia,fob,23.81975174
gro,Asia,Asia,fob,849.28149414
osd,Asia,Asia,fob,390.45318604
others,Asia,Asia,fob,6282.5390625
Intermediate,Asia,Asia,fob,755134.6875
pdr,Europe,Asia,fob,2.405487299
wht,Europe,Asia,fob,354.6831665
gro,Europe,Asia,fob,508.50875854
osd,Europe,Asia,fob,76.213264465
others,Europe,Asia,fob,1400.2731934
Intermediate,Europe,Asia,fob,443361.84375
pdr,N_America,Asia,fob,38.053924561
wht,N_America,Asia,fob,4038.8991699
gro,N_America,Asia,fob,4168.1884766
osd,N_America,Asia,fob,4325.7568359
others,N_America,Asia,fob,5304.3837891
Intermediate,N_America,Asia,fob,293753.3125
pdr,Oceania,Asia,fob,21.664999008
wht,Oceania,Asia,fob,1701.7739258
gro,Oceania,Asia,fob,233.69198608
osd,Oceania,Asia,fob,157.07635498
others,Oceania,Asia,fob,1773.1035156
Intermediate,Oceania,Asia,fob,41512.472656
pdr,S_America,Asia,fob,2.6161293983
wht,S_America,Asia,fob,277.29968262
gro,S_America,Asia,fob,674.19256592
osd,S_America,Asia,fob,666.86737061
others,S_America,Asia,fob,1597.0517578
Intermediate,S_America,Asia,fob,32649.111328
pdr,ROW,Asia,fob,0.77248299122
wht,ROW,Asia,fob,1.9675171375
gro,ROW,Asia,fob,6.3139038086
osd,ROW,Asia,fob,76.073745728
others,ROW,Asia,fob,361.42044067
Intermediate,ROW,Asia,fob,6882.0654297
pdr,Africa,Europe,fob,6.561647892
wht,Africa,Europe,fob,27.014217377
gro,Africa,Europe,fob,31.344991684
osd,Africa,Europe,fob,103.34098816
others,Africa,Europe,fob,6717.8618164
Intermediate,Africa,Europe,fob,68985.28125
pdr,Asia,Europe,fob,231.09263611
wht,Asia,Europe,fob,353.70040894
gro,Asia,Europe,fob,125.30799103
osd,Asia,Europe,fob,539.99890137
others,Asia,Europe,fob,6056.1928711
Intermediate,Asia,Europe,fob,415350.875
pdr,Europe,Europe,fob,187.12464905
wht,Europe,Europe,fob,3447.0627441
gro,Europe,Europe,fob,2892.3378906
osd,Europe,Europe,fob,1899.723999
others,Europe,Europe,fob,26843.775391
Intermediate,Europe,Europe,fob,1820268.5
pdr,N_America,Europe,fob,89.141113281
wht,N_America,Europe,fob,622.21807861
gro,N_America,Europe,fob,489.71456909
osd,N_America,Europe,fob,2570.4243164
others,N_America,Europe,fob,3304.3186035
Intermediate,N_America,Europe,fob,295371.78125
pdr,Oceania,Europe,fob,4.8859996796
wht,Oceania,Europe,fob,130.93936157
gro,Oceania,Europe,fob,3.1396276951
osd,Oceania,Europe,fob,7.3181757927
others,Oceania,Europe,fob,414.06948853
Intermediate,Oceania,Europe,fob,18402.808594
pdr,S_America,Europe,fob,43.515605927
wht,S_America,Europe,fob,160.15916443
gro,S_America,Europe,fob,215.05584717
osd,S_America,Europe,fob,1616.1878662
others,S_America,Europe,fob,8372.9355469
Intermediate,S_America,Europe,fob,42235.402344
pdr,ROW,Europe,fob,1.3835289478
wht,ROW,Europe,fob,4.9141483307
gro,ROW,Europe,fob,20.853061676
osd,ROW,Europe,fob,27.198591232
others,ROW,Europe,fob,274.08898926
Intermediate,ROW,Europe,fob,9870.8720703
pdr,Africa,N_America,fob,0.59120637178
wht,Africa,N_America,fob,12.985494614
gro,Africa,N_America,fob,11.868530273
osd,Africa,N_America,fob,11.303330421
others,Africa,N_America,fob,730.13830566
Intermediate,Africa,N_America,fob,26068.609375
pdr,Asia,N_America,fob,37.528179169
wht,Asia,N_America,fob,7.9200043678
gro,Asia,N_America,fob,10.853491783
osd,Asia,N_America,fob,26.46613121
others,Asia,N_America,fob,1726.3769531
Intermediate,Asia,N_America,fob,423833.6875
pdr,Europe,N_America,fob,1.1733986139
wht,Europe,N_America,fob,1.2976826429
gro,Europe,N_America,fob,51.919460297
osd,Europe,N_America,fob,74.264152527
others,Europe,N_America,fob,1174.3100586
Intermediate,Europe,N_America,fob,305713.21875
pdr,N_America,N_America,fob,93.202690125
wht,N_America,N_America,fob,665.66943359
gro,N_America,N_America,fob,1212.4608154
osd,N_America,N_America,fob,1622.435791
others,N_America,N_America,fob,5519.9926758
Intermediate,N_America,N_America,fob,453804.59375
pdr,Oceania,N_America,fob,0.03599999845
wht,Oceania,N_America,fob,0.075953744352
gro,Oceania,N_America,fob,0.21121187508
osd,Oceania,N_America,fob,8.5573253632
others,Oceania,N_America,fob,151.63226318
Intermediate,Oceania,N_America,fob,11792.013672
pdr,S_America,N_America,fob,1.1764910221
wht,S_America,N_America,fob,0.75552427769
gro,S_America,N_America,fob,58.396808624
osd,S_America,N_America,fob,194.53736877
others,S_America,N_America,fob,5566.8447266
Intermediate,S_America,N_America,fob,55791.464844
pdr,ROW,N_America,fob,0.70884054899
wht,ROW,N_America,fob,0.47208175063
gro,ROW,N_America,fob,0.51536381245
osd,ROW,N_America,fob,5.7919611931
others,ROW,N_America,fob,65.88584137
Intermediate,ROW,N_America,fob,5006.3452148
pdr,Africa,Oceania,fob,0.043919600546
wht,Africa,Oceania,fob,1.0901715755
gro,Africa,Oceania,fob,0.97005099058
osd,Africa,Oceania,fob,0.20273423195
others,Africa,Oceania,fob,33.758514404
Intermediate,Africa,Oceania,fob,1019.586792
pdr,Asia,Oceania,fob,2.411233902
wht,Asia,Oceania,fob,0.70361626148
gro,Asia,Oceania,fob,0.9989386797
osd,Asia,Oceania,fob,4.8646979332
others,Asia,Oceania,fob,167.97839355
Intermediate,Asia,Oceania,fob,32126.421875
pdr,Europe,Oceania,fob,0.12559723854
wht,Europe,Oceania,fob,0.48979821801
gro,Europe,Oceania,fob,0.50238239765
osd,Europe,Oceania,fob,0.99995446205
others,Europe,Oceania,fob,76.441558838
Intermediate,Europe,Oceania,fob,26008.396484
pdr,N_America,Oceania,fob,0.10397636145
wht,N_America,Oceania,fob,5.1218161583
gro,N_America,Oceania,fob,1.5831062794
osd,N_America,Oceania,fob,25.844614029
others,N_America,Oceania,fob,98.080795288
Intermediate,N_America,Oceania,fob,18887.931641
pdr,Oceania,Oceania,fob,0.034002002329
wht,Oceania,Oceania,fob,0.28778609633
gro,Oceania,Oceania,fob,0.63987863064
osd,Oceania,Oceania,fob,1.0481603146
others,Oceania,Oceania,fob,66.956718445
Intermediate,Oceania,Oceania,fob,5831.4716797
pdr,S_America,Oceania,fob,0.098481588066
wht,S_America,Oceania,fob,0.059315815568
gro,S_America,Oceania,fob,0.077798686922
osd,S_America,Oceania,fob,1.7099012136
others,S_America,Oceania,fob,75.43636322
Intermediate,S_America,Oceania,fob,1038.6153564
pdr,ROW,Oceania,fob,0.03623219952
wht,ROW,Oceania,fob,0.025037605315
gro,ROW,Oceania,fob,0.027683679014
osd,ROW,Oceania,fob,0.024421392009
others,ROW,Oceania,fob,52.555610657
Intermediate,ROW,Oceania,fob,862.6427002
pdr,Africa,S_America,fob,0.10495283455
wht,Africa,S_America,fob,2.2784526348
gro,Africa,S_America,fob,40.162899017
osd,Africa,S_America,fob,0.83398860693
others,Africa,S_America,fob,222.23565674
Intermediate,Africa,S_America,fob,3436.3720703
pdr,Asia,S_America,fob,10.656212807
wht,Asia,S_America,fob,1.4819946289
gro,Asia,S_America,fob,1.7194508314
osd,Asia,S_America,fob,3.2675662041
others,Asia,S_America,fob,379.17642212
Intermediate,Asia,S_America,fob,47529.378906
pdr,Europe,S_America,fob,0.42623156309
wht,Europe,S_America,fob,105.98831177
gro,Europe,S_America,fob,29.239318848
osd,Europe,S_America,fob,6.6268062592
others,Europe,S_America,fob,262.37350464
Intermediate,Europe,S_America,fob,66972.1875
pdr,N_America,S_America,fob,99.069129944
wht,N_America,S_America,fob,960.42181396
gro,N_America,S_America,fob,696.04260254
osd,N_America,S_America,fob,558.77099609
others,N_America,S_America,fob,940.90338135
Intermediate,N_America,S_America,fob,74031.3125
wht,Oceania,S_America,fob,41.11227417
gro,Oceania,S_America,fob,0.88398909569
osd,Oceania,S_America,fob,0.083434425294
others,Oceania,S_America,fob,20.418931961
Intermediate,Oceania,S_America,fob,1773.1303711
pdr,S_America,S_America,fob,141.79322815
wht,S_America,S_America,fob,885.04248047
gro,S_America,S_America,fob,467.94165039
osd,S_America,S_America,fob,372.77267456
others,S_America,S_America,fob,1627.4945068
Intermediate,S_America,S_America,fob,46547.605469
pdr,ROW,S_America,fob,0.12602646649
wht,ROW,S_America,fob,0.52349281311
gro,ROW,S_America,fob,0.19281388819
osd,ROW,S_America,fob,0.082304134965
others,ROW,S_America,fob,1.2412352562
Intermediate,ROW,S_America,fob,738.65979004
pdr,Africa,ROW,fob,0.01822976768
wht,Africa,ROW,fob,0.19149631262
gro,Africa,ROW,fob,0.20467360318
osd,Africa,ROW,fob,0.23499549925
others,Africa,ROW,fob,47.99665451
Intermediate,Africa,ROW,fob,373.41348267
pdr,Asia,ROW,fob,1.3112558126
wht,Asia,ROW,fob,0.59119695425
gro,Asia,ROW,fob,92.39025116
osd,Asia,ROW,fob,9.3494539261
others,Asia,ROW,fob,83.010955811
Intermediate,Asia,ROW,fob,12362.881836
pdr,Europe,ROW,fob,0.12297321856
wht,Europe,ROW,fob,62.497161865
gro,Europe,ROW,fob,18.564851761
osd,Europe,ROW,fob,4.2562975883
others,Europe,ROW,fob,149.68740845
Intermediate,Europe,ROW,fob,16410.285156
pdr,N_America,ROW,fob,0.045108702034
wht,N_America,ROW,fob,20.707593918
gro,N_America,ROW,fob,3.6839206219
osd,N_America,ROW,fob,0.91523128748
others,N_America,ROW,fob,48.890266418
Intermediate,N_America,ROW,fob,4389.3115234
pdr,Oceania,ROW,fob,0.023000000045
wht,Oceania,ROW,fob,0.012021188624
gro,Oceania,ROW,fob,6.2145709991
osd,Oceania,ROW,fob,0.040064282715
others,Oceania,ROW,fob,28.863571167
Intermediate,Oceania,ROW,fob,1477.4107666
pdr,S_America,ROW,fob,0.034046132118
wht,S_America,ROW,fob,27.261013031
gro,S_America,ROW,fob,0.11030609906
osd,S_America,ROW,fob,51.64238739
others,S_America,ROW,fob,32.290836334
Intermediate,S_America,ROW,fob,756.14349365
pdr,ROW,ROW,fob,0.19072650373
wht,ROW,ROW,fob,3.5530333519
gro,ROW,ROW,fob,11.981962204
osd,ROW,ROW,fob,0.68376713991
others,ROW,ROW,fob,35.65404129
Intermediate,ROW,ROW,fob,1062.4361572
pdr,Africa,Africa,trans,0.68399906158
wht,Africa,Africa,trans,0.96699905396
gro,Africa,Africa,trans,35.083908081
osd,Africa,Africa,trans,4.5129318237
others,Africa,Africa,trans,34.15435791
Intermediate,Africa,Africa,trans,469.24707031
pdr,Asia,Africa,trans,0.30899953842
wht,Asia,Africa,trans,9.5193481445
gro,Asia,Africa,trans,1.607755661
osd,Asia,Africa,trans,2.4874229431
others,Asia,Africa,trans,27.188781738
Intermediate,Asia,Africa,trans,1404.8554688
pdr,Europe,Africa,trans,0.02796548605
wht,Europe,Africa,trans,38.117675781
gro,Europe,Africa,trans,38.243560791
osd,Europe,Africa,trans,0.91152858734
others,Europe,Africa,trans,54.727111816
Intermediate,Europe,Africa,trans,2531.34375
pdr,N_America,Africa,trans,0.554022789
wht,N_America,Africa,trans,84.551391602
gro,N_America,Africa,trans,81.07989502
osd,N_America,Africa,trans,3.8837509155
others,N_America,Africa,trans,11.322021484
Intermediate,N_America,Africa,trans,472.20898438
pdr,Oceania,Africa,trans,5.00000268220901E-0003
wht,Oceania,Africa,trans,19.360992432
gro,Oceania,Africa,trans,0.13300007582
osd,Oceania,Africa,trans,0.10000002384
others,Oceania,Africa,trans,2.5352344513
Intermediate,Oceania,Africa,trans,78.221923828
wht,S_America,Africa,trans,13.866043091
gro,S_America,Africa,trans,31.809051514
osd,S_America,Africa,trans,5.7510795593
others,S_America,Africa,trans,5.7325820923
Intermediate,S_America,Africa,trans,203.61865234
wht,ROW,Africa,trans,0.07815694809
gro,ROW,Africa,trans,0.050485134125
osd,ROW,Africa,trans,1.54815614223480E-0003
others,ROW,Africa,trans,0.38787317276
Intermediate,ROW,Africa,trans,9.0081176758
pdr,Africa,Asia,trans,0.013000011444
wht,Africa,Asia,trans,0.16434288025
gro,Africa,Asia,trans,7.2204742432
osd,Africa,Asia,trans,7.1914520264
others,Africa,Asia,trans,105.85559082
Intermediate,Africa,Asia,trans,1243.8144531
pdr,Asia,Asia,trans,10.792007446
wht,Asia,Asia,trans,0.5890007019
gro,Asia,Asia,trans,145.86096191
osd,Asia,Asia,trans,32.792022705
others,Asia,Asia,trans,825.76269531
Intermediate,Asia,Asia,trans,42857.875
pdr,Europe,Asia,trans,0.047231435776
wht,Europe,Asia,trans,16.750183105
gro,Europe,Asia,trans,73.37210083
osd,Europe,Asia,trans,7.9169998169
others,Europe,Asia,trans,132.54882813
Intermediate,Europe,Asia,trans,12530.1875
pdr,N_America,Asia,trans,2.4939880371
wht,N_America,Asia,trans,224.50756836
gro,N_America,Asia,trans,864.69970703
osd,N_America,Asia,trans,470.35595703
others,N_America,Asia,trans,636.4765625
Intermediate,N_America,Asia,trans,10236.53125
pdr,Oceania,Asia,trans,1.4550018311
wht,Oceania,Asia,trans,99.83605957
gro,Oceania,Asia,trans,72.140991211
osd,Oceania,Asia,trans,23.62298584
others,Oceania,Asia,trans,258.73205566
Intermediate,Oceania,Asia,trans,3873.4140625
pdr,S_America,Asia,trans,0.072000026703
wht,S_America,Asia,trans,13.994995117
gro,S_America,Asia,trans,130.36401367
osd,S_America,Asia,trans,69.784973145
others,S_America,Asia,trans,125.99804688
Intermediate,S_America,Asia,trans,1948.3300781
pdr,ROW,Asia,trans,4.49597835540771E-0004
wht,ROW,Asia,trans,0.094255685806
gro,ROW,Asia,trans,0.98805189133
osd,ROW,Asia,trans,17.912200928
others,ROW,Asia,trans,56.407592773
Intermediate,ROW,Asia,trans,397.45849609
pdr,Africa,Europe,trans,0.36786842346
wht,Africa,Europe,trans,6.38961791992188E-0004
gro,Africa,Europe,trans,1.651971817
osd,Africa,Europe,trans,11.902648926
others,Africa,Europe,trans,781.52001953
Intermediate,Africa,Europe,trans,4036.7109375
pdr,Asia,Europe,trans,11.713546753
wht,Asia,Europe,trans,15.061523438
gro,Asia,Europe,trans,9.9977340698
osd,Asia,Europe,trans,42.360046387
others,Asia,Europe,trans,458.22460938
Intermediate,Asia,Europe,trans,16654.6875
pdr,Europe,Europe,trans,4.0151672363
wht,Europe,Europe,trans,157.47192383
gro,Europe,Europe,trans,182.10424805
osd,Europe,Europe,trans,83.923339844
others,Europe,Europe,trans,2093.4882813
Intermediate,Europe,Europe,trans,37218.375
pdr,N_America,Europe,trans,5.9872283936
wht,N_America,Europe,trans,36.196411133
gro,N_America,Europe,trans,91.835906982
osd,N_America,Europe,trans,267.9453125
others,N_America,Europe,trans,265.05322266
Intermediate,N_America,Europe,trans,5934.40625
pdr,Oceania,Europe,trans,0.32800006866
wht,Oceania,Europe,trans,7.6763458252
gro,Oceania,Europe,trans,0.68865323067
osd,Oceania,Europe,trans,0.74045228958
others,Oceania,Europe,trans,71.81842041
Intermediate,Oceania,Europe,trans,760.02539063
pdr,S_America,Europe,trans,2.7564659119
wht,S_America,Europe,trans,9.1580505371
gro,S_America,Europe,trans,37.588592529
osd,S_America,Europe,trans,170.77355957
others,S_America,Europe,trans,944.68457031
