!Header: AG01, dimensions: REG*GDPEXPEND [7*5], description: GDPEXP = C + I + G + X - M, GDP from the expenditure side
REG,GDPEXPEND,Value
SkLab,others,Oceania,138.13874817
Capital,others,Oceania,1469.1433105
Land,Intermediate,Oceania,1446.8780518
UnSkLab,Intermediate,Oceania,125626.34375
SkLab,Intermediate,Oceania,89636.765625
Capital,Intermediate,Oceania,181761.71875
NatlRes,Intermediate,Oceania,5412.2397461
Land,pdr,S_America,1060.3731689
UnSkLab,pdr,S_America,1648.4857178
SkLab,pdr,S_America,40.819564819
Capital,pdr,S_America,2396.4714355
Land,wht,S_America,1607.5557861
UnSkLab,wht,S_America,2577.4436035
SkLab,wht,S_America,65.366676331
Capital,wht,S_America,2324.7092285
Land,gro,S_America,1926.7073975
UnSkLab,gro,S_America,3064.3400879
SkLab,gro,S_America,79.521194458
Capital,gro,S_America,3164.3491211
Land,osd,S_America,3237.3383789
UnSkLab,osd,S_America,5095.6108398
SkLab,osd,S_America,144.16430664
Capital,osd,S_America,5999.7353516
Land,others,S_America,14979.049805
UnSkLab,others,S_America,23597.494141
SkLab,others,S_America,574.10272217
Capital,others,S_America,28923.064453
Land,Intermediate,S_America,10434.055664
UnSkLab,Intermediate,S_America,453677.21875
SkLab,Intermediate,S_America,211766.625
Capital,Intermediate,S_America,679405.4375
NatlRes,Intermediate,S_America,14453.18457
Land,pdr,ROW,735.09796143
UnSkLab,pdr,ROW,645.96343994
SkLab,pdr,ROW,7.2468042374
Capital,pdr,ROW,131.01296997
Land,wht,ROW,919.47241211
UnSkLab,wht,ROW,807.98144531
SkLab,wht,ROW,9.0644187927
Capital,wht,ROW,163.87313843
Land,gro,ROW,926.22692871
UnSkLab,gro,ROW,813.91699219
SkLab,gro,ROW,9.1310081482
Capital,gro,ROW,165.07696533
Land,osd,ROW,489.9017334
UnSkLab,osd,ROW,430.49856567
SkLab,osd,ROW,4.8295903206
Capital,osd,ROW,87.312820435
Land,others,ROW,5316.0102539
UnSkLab,others,ROW,4671.4160156
SkLab,others,ROW,52.406734467
Capital,others,ROW,947.44689941
